file,symbol,generated_at,source_file,action,reason,daily_log_slope,forecast_horizon_return,actual_horizon_return,direction_hit,long_only_return,horizon_rows,prediction_rows,actual_rows
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_180745.json,BTC_USDT,2025-08-26T18:07:45.265759,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-1.6064585195161955e-05,-0.029108275451144694,-0.0028595036891557735,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_180806.json,BTC_USDT,2025-08-26T18:08:06.708529,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-0.00019623470916569095,-0.015862305323783632,-0.0028595036891557735,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181012.json,BTC_USDT,2025-08-26T18:10:12.745009,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-0.00021644497095365357,-0.010716448083911145,-0.0028595036891557735,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181139.json,BTC_USDT,2025-08-26T18:11:39.742082,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-0.0004698059352950899,0.026529636106005672,-0.0028595036891557735,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181240.json,BTC_USDT,2025-08-26T18:12:40.293407,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-0.0002408845536565544,0.01649932124832576,-0.00013618643636970074,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181434.json,BTC_USDT,2025-08-26T18:14:34.105087,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,0.0,0.01141044595817764,-0.00013618643636970074,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181513.json,BTC_USDT,2025-08-26T18:15:13.692886,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,0.0001138244818373003,0.0036185947321614176,-0.00013618643636970074,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181612.json,BTC_USDT,2025-08-26T18:16:12.251254,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-0.00018105118464876508,0.014182268675655418,-0.00013618643636970074,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181648.json,BTC_USDT,2025-08-26T18:16:48.070871,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-0.00016044773222397015,0.01661130412232903,-0.00013618643636970074,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181800.json,BTC_USDT,2025-08-26T18:18:00.682200,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-6.627069751643324e-05,0.009703414009188727,-0.00013618643636970074,True,0.0,20,120,120
/Users/jettlin/Documents/kronos-预测/Kronos/webui/prediction_results/prediction_20250826_181932.json,BTC_USDT,2025-08-26T18:19:32.369389,/Users/charles/Kronos/data/BTC_USDT_USDT-5m-futures.feather,hold,slope_inside_no_trade_band,-2.030022270462745e-05,0.0007122217973742906,0.0004616348381594193,True,0.0,20,120,120
