horizon,event_count,mean_return,median_return,win_rate,best_return,worst_return
20,3938,0.0013765929482991116,-0.003502138525158647,0.4791772473336719,0.6663393258426966,-0.3598611182244984
60,3715,0.016595535112520446,-0.0022,0.49448183041722743,1.2288756972111552,-0.46005474465453267
120,3253,0.036407952637187366,0.010243438914027105,0.5296649246849062,1.0225933884297522,-0.5148347411203393
180,3015,0.08098370215784446,0.03326592489568834,0.5890547263681593,1.7905927927927927,-0.5033486128291218
360,2053,0.1577269245042149,0.06940194174757285,0.6220165611300535,2.671592557403008,-0.5039818959372773
