strategy,take_profit_levels,take_profit_fractions,annual_return,max_drawdown,calmar,passes_return_gate,passes_drawdown_gate,trade_count,candidate_count
tp8_16_24_f100_100_100,0.08/0.16/0.24,1.00/1.00/1.00,0.5886817257539967,-0.21480394480179965,2.7405536071377803,True,True,235.0,445.0
tp10_20_30_f100_100_100,0.10/0.20/0.30,1.00/1.00/1.00,0.5110924111273516,-0.22077086016106406,2.315035647161417,True,True,167.0,445.0
tp8_16_24_f50_50_100,0.08/0.16/0.24,0.50/0.50/1.00,0.493484340325671,-0.17539874894556995,2.8134997729020856,False,True,311.0,445.0
tp8_16_24_f33_33_100,0.08/0.16/0.24,0.33/0.33/1.00,0.3915622705498645,-0.17706438762989218,2.211411768290331,False,True,311.0,445.0
tp10_20_30_f50_50_100,0.10/0.20/0.30,0.50/0.50/1.00,0.37636175616270084,-0.18296043100138004,2.0570664055763075,False,True,287.0,445.0
tp12_24_36_f50_50_100,0.12/0.24/0.36,0.50/0.50/1.00,0.37554209809842476,-0.25260229342754226,1.4866931451916814,False,True,242.0,445.0
tp8_16_24_f25_25_100,0.08/0.16/0.24,0.25/0.25/1.00,0.3454867264636592,-0.18697781719033124,1.847741789134142,False,True,313.0,445.0
tp15_30_45_f100_100_100,0.15/0.30/0.45,1.00/1.00/1.00,0.28438412577122985,-0.24490674703414428,1.1611935122864612,False,True,133.0,445.0
tp10_20_30_f33_33_100,0.10/0.20/0.30,0.33/0.33/1.00,0.2637394477738477,-0.1732859401183917,1.521989883274181,False,True,287.0,445.0
tp12_24_36_f33_33_100,0.12/0.24/0.36,0.33/0.33/1.00,0.20795213154895187,-0.27317050706352675,0.7612539647283075,False,True,242.0,445.0
tp5_10_15_f50_50_100,0.05/0.10/0.15,0.50/0.50/1.00,0.2068965470657389,-0.19246116151095605,1.0750041485848618,False,True,428.0,445.0
tp10_20_30_f25_25_100,0.10/0.20/0.30,0.25/0.25/1.00,0.17636133689146094,-0.18182861237959203,0.9699317097755913,False,True,287.0,445.0
tp5_10_15_f100_100_100,0.05/0.10/0.15,1.00/1.00/1.00,0.17226864597796254,-0.2740544439372308,0.6285927843498821,False,True,237.0,445.0
tp12_24_36_f25_25_100,0.12/0.24/0.36,0.25/0.25/1.00,0.1342043292687456,-0.28166131260068583,0.4764741313941417,False,True,240.0,445.0
tp15_30_45_f50_50_100,0.15/0.30/0.45,0.50/0.50/1.00,0.12321509610859649,-0.23927992885250704,0.5149412100692603,False,True,215.0,445.0
tp5_10_15_f33_33_100,0.05/0.10/0.15,0.33/0.33/1.00,0.0829815152255804,-0.1868540354445234,0.4440980631120351,False,True,424.0,445.0
tp5_10_15_f25_25_100,0.05/0.10/0.15,0.25/0.25/1.00,0.03146235517506635,-0.20570613452509867,0.15294806471232172,False,True,424.0,445.0
tp12_24_36_f100_100_100,0.12/0.24/0.36,1.00/1.00/1.00,0.3184553423673744,-0.35249221697383737,0.9034393584667736,False,False,145.0,445.0
tp15_30_45_f33_33_100,0.15/0.30/0.45,0.33/0.33/1.00,0.07485978801083903,-0.3079409339111202,0.243097879388927,False,False,215.0,445.0
tp15_30_45_f25_25_100,0.15/0.30/0.45,0.25/0.25/1.00,-0.0025216399394305533,-0.38583136212683655,-0.006535601267689588,False,False,207.0,445.0
