strategy,strategy_family,fixed_weights,gross_exposure,drawdown_half,drawdown_quarter,total_turnover,rebalance_count,estimated_cost,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,passes_return_gate,passes_drawdown_gate
ext_fixed_tqqq_btc_gld_equal_x1_75,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.75,-0.15,-0.22,12.0,11.0,0.012,0.17297626220959628,0.020398723666104956,0.16784966192542758,-0.3025617484883929,0.1215297274484099,0.06742003497804187,0.0721141006668788,False,False
ext_fixed_tqqq_btc_gld_equal_x1_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.0,-0.15,-0.22,6.0,8.0,0.006,0.15151518401856556,0.018016636271024566,0.1375110842121627,-0.31915347313734677,0.13101952016629517,0.056451324480091616,0.09348672825307072,False,False
ext_fixed_tqqq_btc_gld_equal_x2_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,2.0,-0.12,-0.2,13.0,10.0,0.013000000000000001,0.14730726298215324,0.0175450336883769,0.1669230181208195,-0.3075513441957832,0.10510853377739515,0.05704749473378323,0.05644405579861911,False,False
ext_fixed_btc_gld_50_50_x1_5,external_fixed,BTC-USD:0.50;GLD:0.50,1.5,-0.15,-0.22,4.0,2.0,0.004,0.1410802261010924,0.0168443592218952,0.1570486917421034,-0.3287032235820698,0.10725564813717817,0.05124488600486615,0.04344478909241792,False,False
ext_fixed_tqqq_btc_gld_equal_x3_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,3.0,-0.12,-0.2,10.0,4.0,0.01,0.1242746240949042,0.014936563667737213,0.16102220287662158,-0.33228405459793164,0.09276089508713221,0.04495118998656335,0.01917248837990887,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x1_75,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.75,-0.08,-0.14,4.5,2.0,0.0045000000000000005,0.11162398599254719,0.01348394319913293,0.15160133690706948,-0.33152864010417316,0.08894343199228177,0.04067203121545094,0.02120201976423162,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x1_75,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.75,-0.12,-0.2,4.5,2.0,0.0045000000000000005,0.11162398599254719,0.01348394319913293,0.15160133690706948,-0.33152864010417316,0.08894343199228177,0.04067203121545094,0.02120201976423162,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x1_75,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.75,-0.15,-0.22,4.5,2.0,0.0045000000000000005,0.11162398599254719,0.01348394319913293,0.15160133690706948,-0.33152864010417316,0.08894343199228177,0.04067203121545094,0.02120201976423162,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x2_0,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,2.0,-0.08,-0.14,5.0,2.0,0.005,0.10979561366664292,0.013272805859526393,0.17323846006602817,-0.37336857363173104,0.07661581530144976,0.035548802970808986,0.01826532809979443,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x2_0,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,2.0,-0.12,-0.2,5.0,2.0,0.005,0.10979561366664292,0.013272805859526393,0.17323846006602817,-0.37336857363173104,0.07661581530144976,0.035548802970808986,0.01826532809979443,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x2_0,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,2.0,-0.15,-0.22,5.0,2.0,0.005,0.10979561366664292,0.013272805859526393,0.17323846006602817,-0.37336857363173104,0.07661581530144976,0.035548802970808986,0.01826532809979443,False,False
ext_fixed_tqqq_btc_gld_equal_x2_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,2.0,-0.15,-0.22,7.0,4.0,0.007,0.10792291713743785,0.013056234844903036,0.14920793937173282,-0.33132146944454643,0.08750362011484569,0.03940654635750452,0.031108453796002522,False,False
ext_fixed_tqqq_btc_gld_equal_x1_5,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.5,-0.15,-0.22,9.5,8.0,0.0095,0.10203315583266104,0.012373013505019959,0.1624998538058662,-0.30505029292531116,0.07614169007069775,0.04056056916506348,0.04348076010349927,False,False
ext_fixed_tecl_gld_50_50_x1_25,external_fixed,TECL:0.50;GLD:0.50,1.25,-0.15,-0.22,5.5,6.0,0.0055,0.10018598852241678,0.012158082270543602,0.15362335642714176,-0.30372412004520144,0.07914214708822456,0.04003001891563366,0.05410500625184984,False,False
ext_fixed_tqqq_btc_gld_equal_x1_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.0,-0.12,-0.2,7.0,8.0,0.007,0.09226686909048465,0.011233048452887306,0.13111510483674746,-0.3004846362092669,0.08567318362650643,0.03738310415666064,0.06268067681089892,False,False
ext_fixed_tqqq_btc_gld_equal_x1_75,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.75,-0.12,-0.2,13.75,12.0,0.01375,0.09121893390738145,0.011110200412803861,0.1579691080885787,-0.3031901780304468,0.07033147523105587,0.03664432827269279,0.03811724858215658,False,False
ext_fixed_btc_gld_50_50_x1_25,external_fixed,BTC-USD:0.50;GLD:0.50,1.25,-0.15,-0.22,4.75,5.0,0.00475,0.08872911946524398,0.01081790902890889,0.1425033817555032,-0.30874389418609705,0.07591334953348308,0.035038454954475426,0.04992048528099038,False,False
