symbol,start,end,observations,annual_return,annual_volatility,max_drawdown,calmar,worst_daily_return
512480,2019-06-12,2026-06-15,1700.0,0.24197103815355336,0.37235903233184586,-0.6249188838416613,0.38720391463616377,-0.09989082969432317
513100,2017-09-01,2026-06-15,2129.0,0.2258593447945929,0.2366456559321807,-0.28568024779604473,0.7906018933301974,-0.0997876857749469
518880,2017-09-01,2026-06-15,2129.0,0.14841178720548864,0.15774409314687937,-0.28545026881720426,0.5199216936121651,-0.10000908347715509
159915,2017-09-01,2026-06-15,2129.0,0.10238331815094726,0.29798799271976306,-0.5658465991316932,0.1809382937143339,-0.16280806572068707
512400,2017-09-01,2026-06-15,2129.0,0.08498669171206408,0.32108100516906335,-0.5335276967930029,0.15929199594119114,-0.10004275331338175
588000,2020-11-16,2026-06-15,1352.0,0.04385107190699311,0.305615626934974,-0.5964071856287425,0.07352539165128363,-0.09176029962546828
512660,2017-09-01,2026-06-15,2129.0,0.04137256798538469,0.30430222712497007,-0.5094850948509485,0.08120466801386676,-0.10000000000000009
511260,2017-09-01,2026-06-15,2129.0,0.03695710103633698,0.027439254850027673,-0.046196481015085,0.7999981865343598,-0.01131505233672414
510300,2017-09-01,2026-06-15,2129.0,0.028214091512243966,0.19357814662771666,-0.45100740485620805,0.06255793410141303,-0.08839528558476872
511880,2017-09-01,2026-06-15,2129.0,-0.0022173413236225015,0.02291893302742473,-0.03465843303743732,-0.06397696402567812,-0.032998454404945865
516160,2021-02-04,2026-06-15,1295.0,-0.009088212617046953,0.3160159405486296,-0.6707293486828831,-0.013549746458677488,-0.09978655282817506
512690,2019-05-06,2026-06-15,1726.0,-0.014929401135841736,0.32156180173256543,-0.7342269444278636,-0.020333496678571594,-0.2705971277399849
513180,2021-05-25,2026-06-15,1226.0,-0.09968967843174747,0.3374670803941137,-0.6195546950629234,-0.16090537159374244,-0.09959072305593442
513330,2021-02-08,2026-06-15,1293.0,-0.16919361346765804,0.3429717111559481,-0.7268475210477081,-0.23277731376695812,-0.10040160642570284
