strategy,window,start,end,take_profit_levels,take_profit_fractions,annual_return,max_drawdown,calmar,passes_return_gate,passes_drawdown_gate,trade_count,candidate_count
tp8_16_24_f33_33_100,oos_2026,2026-01-01,2026-05-15,0.08/0.16/0.24,0.33/0.33/1.00,0.6597284322686425,-0.21191168700013208,3.1132234451431238,True,True,71.0,99.0
tp8_16_24_f33_33_100,wf_2025_h1,2025-01-01,2025-06-30,0.08/0.16/0.24,0.33/0.33/1.00,-0.5780636256923022,-0.3749384417601993,-1.5417560892889621,False,False,75.0,125.0
tp8_16_24_f33_33_100,wf_2025_h2,2025-07-01,2025-12-31,0.08/0.16/0.24,0.33/0.33/1.00,1.3299200641141526,-0.19294712616893395,6.892665832968911,True,True,155.0,239.0
tp8_16_24_f50_50_100,full,2025-01-01,2026-05-15,0.08/0.16/0.24,0.50/0.50/1.00,0.21246500756730802,-0.36910905520526494,0.5756158093958282,False,False,374.0,463.0
tp8_16_24_f50_50_100,train_2025,2025-01-01,2025-12-31,0.08/0.16/0.24,0.50/0.50/1.00,-0.043981345695941254,-0.36910905520526494,-0.1191554232433632,False,False,289.0,364.0
tp8_16_24_f50_50_100,oos_2026,2026-01-01,2026-05-15,0.08/0.16/0.24,0.50/0.50/1.00,1.010544452408812,-0.1799546967998208,5.615549193100129,True,True,71.0,99.0
tp8_16_24_f50_50_100,wf_2025_h1,2025-01-01,2025-06-30,0.08/0.16/0.24,0.50/0.50/1.00,-0.5630003006234201,-0.36910905520526494,-1.525295282475068,False,False,76.0,125.0
tp8_16_24_f50_50_100,wf_2025_h2,2025-07-01,2025-12-31,0.08/0.16/0.24,0.50/0.50/1.00,1.3989074341132373,-0.14411841023758598,9.706653243031703,True,True,163.0,239.0
tp8_16_24_f100_100_100,full,2025-01-01,2026-05-15,0.08/0.16/0.24,1.00/1.00/1.00,0.2549134757028604,-0.29152428643308237,0.8744159151260772,False,True,221.0,463.0
tp8_16_24_f100_100_100,train_2025,2025-01-01,2025-12-31,0.08/0.16/0.24,1.00/1.00/1.00,0.1438212179774896,-0.29152428643308237,0.4933421490785567,False,True,155.0,364.0
tp8_16_24_f100_100_100,oos_2026,2026-01-01,2026-05-15,0.08/0.16/0.24,1.00/1.00/1.00,0.7969073905233959,-0.19484223016681235,4.090013698986771,True,True,55.0,99.0
tp8_16_24_f100_100_100,wf_2025_h1,2025-01-01,2025-06-30,0.08/0.16/0.24,1.00/1.00/1.00,-0.3910064269835585,-0.29152428643308237,-1.341248208743362,False,True,60.0,125.0
tp8_16_24_f100_100_100,wf_2025_h2,2025-07-01,2025-12-31,0.08/0.16/0.24,1.00/1.00/1.00,0.7971700715058103,-0.19437004001843528,4.101301164676417,True,True,91.0,239.0
tp10_20_30_f25_25_100,full,2025-01-01,2026-05-15,0.10/0.20/0.30,0.25/0.25/1.00,0.27752064934681653,-0.2637375447056973,1.0522606846002895,False,True,311.0,463.0
tp10_20_30_f25_25_100,train_2025,2025-01-01,2025-12-31,0.10/0.20/0.30,0.25/0.25/1.00,0.06793960634312524,-0.2637375447056973,0.2576030895371325,False,True,230.0,364.0
tp10_20_30_f25_25_100,oos_2026,2026-01-01,2026-05-15,0.10/0.20/0.30,0.25/0.25/1.00,0.525409024631261,-0.24908848791380023,2.109326806034828,True,True,58.0,99.0
tp10_20_30_f25_25_100,wf_2025_h1,2025-01-01,2025-06-30,0.10/0.20/0.30,0.25/0.25/1.00,-0.3142958301185105,-0.2637375447056973,-1.1916992344386566,False,True,56.0,125.0
tp10_20_30_f25_25_100,wf_2025_h2,2025-07-01,2025-12-31,0.10/0.20/0.30,0.25/0.25/1.00,1.0096802934767561,-0.2502771993924394,4.034248009518271,True,True,138.0,239.0
tp10_20_30_f33_33_100,full,2025-01-01,2026-05-15,0.10/0.20/0.30,0.33/0.33/1.00,0.30580225715882214,-0.2566673915066675,1.1914340008823374,False,True,311.0,463.0
tp10_20_30_f33_33_100,train_2025,2025-01-01,2025-12-31,0.10/0.20/0.30,0.33/0.33/1.00,0.10441669620746974,-0.2566673915066675,0.406817148039459,False,True,230.0,364.0
tp10_20_30_f33_33_100,oos_2026,2026-01-01,2026-05-15,0.10/0.20/0.30,0.33/0.33/1.00,0.6379927875660916,-0.2364528105842172,2.6981822968810016,True,True,58.0,99.0
tp10_20_30_f33_33_100,wf_2025_h1,2025-01-01,2025-06-30,0.10/0.20/0.30,0.33/0.33/1.00,-0.31790312101787943,-0.2566673915066675,-1.2385800905668267,False,True,56.0,125.0
tp10_20_30_f33_33_100,wf_2025_h2,2025-07-01,2025-12-31,0.10/0.20/0.30,0.33/0.33/1.00,0.991063437709844,-0.23197333602434234,4.272316183812806,True,True,138.0,239.0
tp10_20_30_f50_50_100,full,2025-01-01,2026-05-15,0.10/0.20/0.30,0.50/0.50/1.00,0.31660396253745504,-0.2606838157717096,1.2145133045571066,False,True,313.0,463.0
tp10_20_30_f50_50_100,train_2025,2025-01-01,2025-12-31,0.10/0.20/0.30,0.50/0.50/1.00,0.1342251913285195,-0.2606838157717096,0.5148965267796503,False,True,230.0,364.0
tp10_20_30_f50_50_100,oos_2026,2026-01-01,2026-05-15,0.10/0.20/0.30,0.50/0.50/1.00,0.8835286989822697,-0.2095949858457411,4.215409521449784,True,True,58.0,99.0
tp10_20_30_f50_50_100,wf_2025_h1,2025-01-01,2025-06-30,0.10/0.20/0.30,0.50/0.50/1.00,-0.3183717241535381,-0.2606838157717096,-1.2212945526021757,False,True,56.0,125.0
tp10_20_30_f50_50_100,wf_2025_h2,2025-07-01,2025-12-31,0.10/0.20/0.30,0.50/0.50/1.00,0.8703336104254018,-0.2222526153317248,3.915965664234722,True,True,143.0,239.0
tp10_20_30_f100_100_100,full,2025-01-01,2026-05-15,0.10/0.20/0.30,1.00/1.00/1.00,0.4404930542772221,-0.31854892590063033,1.3828112998084054,False,False,189.0,463.0
tp10_20_30_f100_100_100,train_2025,2025-01-01,2025-12-31,0.10/0.20/0.30,1.00/1.00/1.00,0.10285079560514565,-0.31854892590063033,0.32287283755346713,False,False,133.0,364.0
tp10_20_30_f100_100_100,oos_2026,2026-01-01,2026-05-15,0.10/0.20/0.30,1.00/1.00/1.00,1.8900207635688515,-0.194538270010588,9.715418788632102,True,True,47.0,99.0
tp10_20_30_f100_100_100,wf_2025_h1,2025-01-01,2025-06-30,0.10/0.20/0.30,1.00/1.00/1.00,-0.48012144659532374,-0.3047645067885154,-1.57538504616121,False,False,48.0,125.0
tp10_20_30_f100_100_100,wf_2025_h2,2025-07-01,2025-12-31,0.10/0.20/0.30,1.00/1.00/1.00,0.7341502567699827,-0.2100845207914147,3.4945471184852015,True,True,73.0,239.0
tp12_24_36_f25_25_100,full,2025-01-01,2026-05-15,0.12/0.24/0.36,0.25/0.25/1.00,0.20418149041805167,-0.3029278454181872,0.6740268136664106,False,False,285.0,463.0
tp12_24_36_f25_25_100,train_2025,2025-01-01,2025-12-31,0.12/0.24/0.36,0.25/0.25/1.00,-0.019904281474325658,-0.3029278454181872,-0.06570634484541395,False,False,208.0,364.0
tp12_24_36_f25_25_100,oos_2026,2026-01-01,2026-05-15,0.12/0.24/0.36,0.25/0.25/1.00,0.575220305533974,-0.24908848791380023,2.3093010453900833,True,True,53.0,99.0
