action,priority,signal_date,plan_date,symbol,name,buy_date,buy_price,reference_close,bbi,unrealized_return,guardrail
hold_watch,继续观察,2026-06-16,2026-06-17,002902,铭普光磁,2026-05-26,34.73,36.38,31.818759398496244,0.04750935790382971,未触发止盈/跌破BBI，明日不主动加仓；等待新信号。
hold_watch,继续观察,2026-06-16,2026-06-17,300959,线上线下,2026-06-10,168.86,170.45,151.29350720551378,0.009416084330214236,未触发止盈/跌破BBI，明日不主动加仓；等待新信号。
hold_watch,继续观察,2026-06-16,2026-06-17,600172,黄河旋风,2026-06-10,12.12,12.9,11.162167919799499,0.06435643564356441,未触发止盈/跌破BBI，明日不主动加仓；等待新信号。
