date,nav
2025-01-02,1.0
2025-01-03,1.0
2025-01-06,1.0
2025-01-07,1.0
2025-01-08,1.0
2025-01-09,1.0
2025-01-10,1.0
2025-01-13,1.0
2025-01-14,1.0
2025-01-15,1.0
2025-01-16,1.0
2025-01-17,1.0
2025-01-20,1.0
2025-01-21,1.0
2025-01-22,1.0
2025-01-23,1.0
2025-01-24,1.0
2025-01-27,1.0
2025-02-05,1.0
2025-02-06,1.0
2025-02-07,1.0
2025-02-10,1.0
2025-02-11,1.0
2025-02-12,1.0
2025-02-13,1.0
2025-02-14,1.0
2025-02-17,1.0
2025-02-18,1.0
2025-02-19,1.0
2025-02-20,1.0
2025-02-21,1.0
2025-02-24,1.0
2025-02-25,1.0
2025-02-26,1.0
2025-02-27,1.00106333
2025-02-28,0.92587233
2025-03-03,0.9242440850000002
2025-03-04,0.9314820850000002
2025-03-05,0.9545500850000002
2025-03-06,1.1017946010000002
2025-03-07,1.1311831900000004
2025-03-10,1.2211600340000004
2025-03-11,1.2171349340000004
2025-03-12,1.2444199340000004
2025-03-13,1.2171229340000003
2025-03-14,1.2565609340000004
2025-03-17,1.2838239780000005
2025-03-18,1.2901529780000005
2025-03-19,1.2540829780000007
2025-03-20,1.2669739780000007
2025-03-21,1.2382549780000005
2025-03-24,1.1616376780000006
2025-03-25,1.1093669230000007
2025-03-26,1.1080150640000006
2025-03-27,1.0865230640000008
2025-03-28,1.0921340640000008
2025-03-31,1.1167981340000006
2025-04-01,1.1325613160000005
2025-04-02,1.1338603160000005
2025-04-03,1.1330663160000005
2025-04-07,1.1281423160000006
2025-04-08,1.1258504650000005
2025-04-09,1.1258504650000005
2025-04-10,1.1258504650000005
2025-04-11,1.1258504650000005
2025-04-14,1.1258504650000005
2025-04-15,1.1258504650000005
2025-04-16,1.1258504650000005
2025-04-17,1.1258504650000005
2025-04-18,1.1258504650000005
2025-04-21,1.1258504650000005
2025-04-22,1.1258504650000005
2025-04-23,1.1258504650000005
2025-04-24,1.1258504650000005
2025-04-25,1.1258504650000005
2025-04-28,1.1258504650000005
2025-04-29,1.1258504650000005
2025-04-30,1.1258504650000005
2025-05-06,1.1258504650000005
2025-05-07,1.1258504650000005
2025-05-08,1.1258504650000005
2025-05-09,1.1258504650000005
2025-05-12,1.1258504650000005
2025-05-13,1.1258504650000005
2025-05-14,1.1258504650000005
2025-05-15,1.1258504650000005
2025-05-16,1.1258504650000005
2025-05-19,1.1258504650000005
2025-05-20,1.1258504650000005
2025-05-21,1.1258504650000005
2025-05-22,1.1258504650000005
2025-05-23,1.1258504650000005
2025-05-26,1.1258504650000005
2025-05-27,1.1258504650000005
2025-05-28,1.1258504650000005
2025-05-29,1.1258504650000005
2025-05-30,1.1258504650000005
2025-06-03,1.1258504650000005
2025-06-04,1.1258504650000005
2025-06-05,1.1345823530000005
2025-06-06,1.1348162510000006
2025-06-09,1.1916862510000006
2025-06-10,1.1437322510000005
2025-06-11,1.1347356300000007
2025-06-12,1.1174636300000005
2025-06-13,1.1296566300000006
2025-06-16,1.1446375260000006
2025-06-17,1.1086595260000005
2025-06-18,1.1106895260000005
2025-06-19,1.0421169230000007
2025-06-20,1.0046069430000006
2025-06-23,1.0278759430000006
2025-06-24,1.0120359430000008
2025-06-25,1.0166580220000008
2025-06-26,1.0130240220000009
2025-06-27,1.0061690220000008
2025-06-30,1.0746280220000008
2025-07-01,1.141692463000001
2025-07-02,1.1156606630000008
2025-07-03,1.092862663000001
2025-07-04,1.102565663000001
2025-07-07,1.1199474980000008
2025-07-08,1.1573624980000008
2025-07-09,1.1799704980000008
2025-07-10,1.195226498000001
2025-07-11,1.243781356000001
2025-07-14,1.224904189000001
2025-07-15,1.2427651890000009
2025-07-16,1.2987846290000011
2025-07-17,1.3269573230000014
2025-07-18,1.3239153230000014
2025-07-21,1.3287793230000013
2025-07-22,1.3117863230000013
2025-07-23,1.3125745400000013
2025-07-24,1.3497864440000011
2025-07-25,1.336311444000001
2025-07-28,1.322067444000001
2025-07-29,1.321055444000001
2025-07-30,1.3178184440000011
2025-07-31,1.325933773000001
2025-08-01,1.323144243000001
2025-08-04,1.3213033650000012
2025-08-05,1.3231023650000011
2025-08-06,1.327391365000001
2025-08-07,1.316906708000001
2025-08-08,1.316465708000001
2025-08-11,1.369826086000001
2025-08-12,1.352958086000001
2025-08-13,1.355234086000001
2025-08-14,1.323076244000001
2025-08-15,1.3437572440000012
2025-08-18,1.3798817190000012
2025-08-19,1.3864420010000011
2025-08-20,1.391985001000001
2025-08-21,1.3744310010000012
2025-08-22,1.3772970010000012
2025-08-25,1.3912571970000012
2025-08-26,1.398565197000001
2025-08-27,1.364721035000001
2025-08-28,1.3715597390000012
2025-08-29,1.3768917270000014
2025-09-01,1.3452657270000012
2025-09-02,1.3006006120000013
2025-09-03,1.2936952190000015
2025-09-04,1.3160284560000015
2025-09-05,1.3643424560000015
2025-09-08,1.3803975790000014
2025-09-09,1.4099995170000015
2025-09-10,1.4387927820000015
2025-09-11,1.5193344190000015
2025-09-12,1.5911965130000016
2025-09-15,1.5498695130000018
2025-09-16,1.6439536450000016
2025-09-17,1.6638357060000017
2025-09-18,1.6434345790000018
2025-09-19,1.6404856650000021
2025-09-22,1.613985147000002
2025-09-23,1.5491134510000022
2025-09-24,1.566005451000002
2025-09-25,1.5368284510000023
2025-09-26,1.478740291000002
2025-09-29,1.506923291000002
2025-09-30,1.5305202690000022
2025-10-09,1.5575782690000022
2025-10-10,1.5186086640000023
2025-10-13,1.5155888610000023
2025-10-14,1.5180206360000024
2025-10-15,1.6018876360000023
2025-10-16,1.5503235240000022
2025-10-17,1.543307524000002
2025-10-20,1.5827535240000021
2025-10-21,1.5704965240000022
2025-10-22,1.595934524000002
2025-10-23,1.5606577120000023
2025-10-24,1.5699043680000022
2025-10-27,1.5747128860000024
2025-10-28,1.5615898860000024
2025-10-29,1.587179885000002
2025-10-30,1.541157586000002
2025-10-31,1.5374727380000022
2025-11-03,1.5391027380000022
2025-11-04,1.4519260060000023
2025-11-05,1.4507690060000022
2025-11-06,1.443235006000002
2025-11-07,1.4867560060000025
2025-11-10,1.5542060060000022
2025-11-11,1.5734851560000023
2025-11-12,1.5899291560000024
2025-11-13,1.586411156000002
2025-11-14,1.5872243560000021
2025-11-17,1.574506356000002
2025-11-18,1.5412643560000023
2025-11-19,1.5161845440000021
2025-11-20,1.5984145440000022
2025-11-21,1.4859540940000024
2025-11-24,1.4619186220000022
2025-11-25,1.4935026220000023
2025-11-26,1.4796846220000024
2025-11-27,1.4770526220000022
2025-11-28,1.5040306220000024
2025-12-01,1.5134733200000023
2025-12-02,1.5046333200000024
2025-12-03,1.4472863200000023
2025-12-04,1.3998833000000024
2025-12-05,1.4239767630000024
2025-12-08,1.4729317630000023
2025-12-09,1.6333545550000026
2025-12-10,1.6169045550000025
2025-12-11,1.6484885550000026
2025-12-12,1.6438825550000025
2025-12-15,1.6076925550000025
2025-12-16,1.5958485550000026
2025-12-17,1.6201945550000025
2025-12-18,1.5965065550000026
2025-12-19,1.6011125550000025
2025-12-22,1.6162465550000025
2025-12-23,1.6267745550000026
2025-12-24,1.6451985550000026
2025-12-25,1.6326965550000025
2025-12-26,1.6287485550000025
2025-12-29,1.6149305550000026
2025-12-30,1.6175625550000026
