strategy,strategy_family,top_n,momentum_window,volatility_window,trend_window,rebalance_interval,gross_exposure,defense_asset,drawdown_half,drawdown_quarter,total_turnover,rebalance_count,estimated_cost,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,passes_return_gate,passes_drawdown_gate
ext_ram_top1_m10_v10_t200_f5_x1_0_GLD,external_ram,1,10,10,200,5,1.0,GLD,-0.08,-0.14,313.0,230.0,0.313,4.520526520619348,0.2414011624881356,0.3013725258128352,-0.27776562822835427,0.8010058708472175,0.8690821972028769,0.9035852307160194,False,True
ext_ram_top1_m10_v60_t200_f5_x1_0_GLD,external_ram,1,10,60,200,5,1.0,GLD,-0.08,-0.14,265.5,212.0,0.2655,4.137568655228555,0.23015626778072207,0.2853212419154952,-0.28995065555236754,0.8066566170663467,0.7937773665048807,0.8669112722444311,False,True
ext_ram_top1_m10_v20_t200_f5_x1_0_GLD,external_ram,1,10,20,200,5,1.0,GLD,-0.08,-0.14,277.5,212.0,0.2775,3.7891892557042306,0.2192716167146176,0.2918381622042388,-0.28995065555236754,0.7513466198473504,0.756237699469575,0.8337113678561676,False,True
ext_ram_top2_m10_v20_t200_f5_x1_0_GLD,external_ram,2,10,20,200,5,1.0,GLD,-0.12,-0.2,295.0391617690087,285.0,0.2950391617690087,3.6628524017829385,0.2151529610413614,0.32376549047106157,-0.29132153029504293,0.6645333346933463,0.7385412290792926,0.704893282786248,False,True
ext_ram_top1_m10_v10_t200_f5_x1_0_CASH,external_ram,1,10,10,200,5,1.0,CASH,-0.08,-0.14,164.5,224.0,0.1645,3.3668702159103487,0.20510828783737267,0.25639192679469147,-0.2807231866159705,0.7999795095015425,0.7306424891719434,0.7612062518162567,False,True
ext_ram_top1_m10_v20_t200_f5_x1_0_CASH,external_ram,1,10,20,200,5,1.0,CASH,-0.08,-0.14,132.5,205.0,0.1325,2.5475368798199822,0.1738267703797034,0.2509584076682862,-0.28032217897709444,0.6926517106749639,0.6200963870001419,0.6529914596258115,False,True
ext_ram_top2_m10_v60_t200_f5_x1_0_CASH,external_ram,2,10,60,200,5,1.0,CASH,-0.12,-0.2,175.27153867235904,285.0,0.17527153867235903,2.544158883415613,0.17368524112384298,0.27211054366401977,-0.2925186307187815,0.6382892731209105,0.5937578768814171,0.5771545477659862,False,True
ext_ram_top2_m120_v10_t200_f5_x1_0_CASH,external_ram,2,120,10,200,5,1.0,CASH,-0.08,-0.14,84.52668341842241,305.0,0.08452668341842241,2.534745421316257,0.17329021900126307,0.25986708769794553,-0.2903860140983978,0.6668417325809477,0.5967581446348287,0.6487617046011888,False,True
ext_ram_top1_m10_v60_t200_f5_x1_0_CASH,external_ram,1,10,60,200,5,1.0,CASH,-0.08,-0.14,140.0,207.0,0.14,2.2092927906927744,0.1590335539558001,0.24787703903315933,-0.28032217897709444,0.6415824336780369,0.5673241929558309,0.5897207161005458,False,True
ext_ram_top2_m10_v10_t200_f5_x1_0_GLD,external_ram,2,10,10,200,5,1.0,GLD,-0.08,-0.14,280.35812536539163,286.0,0.2803581253653916,2.1298834199789147,0.15536387135557161,0.2673461535424801,-0.27087683212864244,0.5811337447609285,0.5735590974490855,0.6214390548267009,False,True
ext_ram_top2_m10_v60_t200_f5_x1_0_GLD,external_ram,2,10,60,200,5,1.0,GLD,-0.08,-0.14,251.516144985377,285.0,0.251516144985377,2.109632767108011,0.15441503939206314,0.268249233636074,-0.29026692978007207,0.5756401884135616,0.5319759970901939,0.5851505546912504,False,True
ext_ram_top2_m10_v20_t200_f5_x1_0_CASH,external_ram,2,10,20,200,5,1.0,CASH,-0.12,-0.2,173.04860758598804,284.0,0.17304860758598803,1.8792959608945505,0.14322487967562036,0.2646275988599391,-0.29132153029504293,0.5412318302877615,0.49163849829624984,0.48259158525489104,False,True
ext_ram_top2_m10_v10_t200_f5_x1_0_CASH,external_ram,2,10,10,200,5,1.0,CASH,-0.08,-0.14,127.63880064307747,284.0,0.12763880064307748,1.4458644343212015,0.11985995973470165,0.21188193792938642,-0.28032217897709455,0.5656922006001626,0.4275792952668777,0.5032533405620621,False,True
ext_ram_top2_m10_v20_t200_f5_x1_0_GLD,external_ram,2,10,20,200,5,1.0,GLD,-0.08,-0.14,265.1792261485764,285.0,0.2651792261485764,1.3277561638003075,0.11286662272287118,0.2636618629880399,-0.2913215302950428,0.42807337187020855,0.3874297330807058,0.4313228947232443,False,True
ext_ram_top2_m20_v60_t200_f5_x1_0_CASH,external_ram,2,20,60,200,5,1.0,CASH,-0.08,-0.14,112.01891714357771,289.0,0.11201891714357771,1.2948567589126752,0.11086344686291438,0.23984278033391748,-0.29710185452262783,0.4622338296302537,0.3731496292443062,0.40399532558562334,False,True
ext_ram_top2_m10_v60_t200_f5_x1_0_CASH,external_ram,2,10,60,200,5,1.0,CASH,-0.08,-0.14,138.66602907653092,284.0,0.13866602907653092,1.2399844586779851,0.10746588603537144,0.23270894137795847,-0.29026692978007207,0.4618038542009813,0.3702312423836764,0.39078385603349974,False,True
ext_ram_top1_m60_v10_t200_f5_x1_0_CASH,external_ram,1,60,10,200,5,1.0,CASH,-0.12,-0.2,137.0,163.0,0.137,1.0155171316537248,0.09276321080170424,0.2671494628091484,-0.27355446295101427,0.3472333794957854,0.339103262293752,0.33719633595609233,False,True
ext_ram_top2_m120_v10_t50_f5_x1_0_CASH,external_ram,2,120,10,50,5,1.0,CASH,-0.08,-0.14,89.36705256464792,286.0,0.08936705256464793,0.930564548685032,0.08682329974377079,0.2350796955207344,-0.28865444226768366,0.36933559723839626,0.3007862933328953,0.31768969204795017,False,True
ext_ram_top2_m60_v60_t200_f5_x1_0_CASH,external_ram,2,60,60,200,5,1.0,CASH,-0.08,-0.14,94.52997667174928,294.0,0.09452997667174928,0.8609153016934079,0.08178057504259573,0.24857973840933095,-0.2987017836318906,0.3289913150842946,0.273786698051255,0.286837590448806,False,True
ext_ram_top1_m60_v10_t100_f5_x1_0_CASH,external_ram,1,60,10,100,5,1.0,CASH,-0.08,-0.14,125.0,175.0,0.125,0.8518355317866833,0.08111108528440103,0.2361679730982418,-0.2963759550091353,0.34344659108650694,0.27367633545677117,0.34131947602848184,False,True
ext_ram_top2_m60_v60_t100_f5_x1_0_CASH,external_ram,2,60,60,100,5,1.0,CASH,-0.08,-0.14,93.38915239591681,320.0,0.09338915239591682,0.8439324168771054,0.08052601731847897,0.25984140694057073,-0.2987017836318905,0.30990448468783255,0.26958666379346563,0.28217095891149346,False,True
ext_ram_top2_m20_v10_t200_f5_x1_0_CASH,external_ram,2,20,10,200,5,1.0,CASH,-0.08,-0.14,118.65470316413487,289.0,0.11865470316413487,0.8083413626645286,0.07786375889250019,0.212762216761716,-0.26565456428109147,0.36596610092525994,0.29310152868336137,0.32407957711999913,False,True
