date,symbol,side,shares,price,value,reason,cash_after
2025-01-21,002988,buy,0.024654832347140037,20.28,0.5,next_day_entry,0.49950000000000006
2025-01-27,002052,buy,0.08618324680500848,5.79,0.4990009990009991,next_day_entry,0.0
2025-02-05,002052,sell,0.08618324680500848,5.5,0.47400785742754664,break_bbi,0.47353384957011907
2025-02-07,301004,buy,0.006027019859616994,78.49,0.4730607887813378,next_day_entry,0.0
2025-02-13,301004,sell,0.006027019859616994,76.32,0.4599821556859689,break_bbi,0.4595221735302829
2025-02-14,603408,buy,0.03947232247806217,11.63,0.4590631104198631,next_day_entry,0.0
2025-02-17,002988,sell,0.008136094674556213,23.03,0.1873742603550296,take_profit_8,0.18718688609467457
2025-02-17,603408,sell,0.03947232247806217,11.66,0.4602472800942049,break_bbi,0.6469739189087853
2025-02-17,603332,buy,0.05523658319937585,9.3,0.5137002237541954,next_day_entry,0.13275999493083568
2025-02-17,600901,buy,0.029277564583503845,4.53,0.13262736756327242,next_day_entry,0.0
2025-02-18,603332,sell,0.05523658319937585,8.9,0.4916055904744451,break_bbi,0.4911139848839706
2025-02-18,600901,sell,0.029277564583503845,4.5,0.1317490406257673,break_bbi,0.6227312764691122
2025-02-19,301299,buy,0.006659631350666395,75.8,0.5048000563805127,next_day_entry,0.11742642003221904
2025-02-19,603020,buy,0.01466363886516222,8.0,0.11730911092129775,next_day_entry,0.0
2025-02-21,002988,sell,0.005451183431952662,23.64,0.12886597633136093,take_profit_16,0.12873711035502958
2025-02-21,688023,buy,0.001866325669034631,68.91,0.1286085018531764,next_day_entry,0.0
2025-02-28,301299,sell,0.006659631350666395,65.68,0.4374045871117689,break_bbi,0.4369671825246571
2025-02-28,300634,buy,0.01589696474409266,27.46,0.4365306518727844,next_day_entry,0.0
2025-03-06,603020,sell,0.004839000825503532,8.65,0.04185735714060555,take_profit_8,0.041815499783464945
2025-03-06,300634,sell,0.005245998365550578,32.19,0.16886868738707309,take_profit_8,0.21051531848315094
2025-03-06,603881,buy,0.006425451068429004,32.73,0.21030501346968128,next_day_entry,0.0
2025-03-17,002988,sell,0.011067554240631161,25.36,0.28067317554240623,take_profit_24,0.2803925023668638
2025-03-17,600137,buy,0.01789855527008862,15.65,0.2801123899768869,next_day_entry,0.0
2025-03-19,603881,sell,0.0021203988525815716,35.43,0.07512573134696508,take_profit_8,0.07505060561561812
2025-03-19,688686,buy,0.0008273629440038898,90.62,0.0749756299856325,next_day_entry,0.0
2025-03-21,688023,sell,0.001866325669034631,58.26,0.1087321334779576,break_bbi,0.10862340134447965
2025-03-21,300634,sell,0.010650966378542081,26.96,0.2871500535654945,break_bbi,0.3954863048564087
2025-03-21,600137,sell,0.01789855527008862,15.12,0.27062615568373993,break_bbi,0.6658418343844649
2025-03-21,688686,sell,0.0008273629440038898,86.67,0.07170754635681713,break_bbi,0.7374776731949252
2025-03-21,688612,buy,0.01734605226371886,27.58,0.47840412143336614,next_day_entry,0.2585951476401258
2025-03-24,688612,sell,0.01734605226371886,26.53,0.46019076655646135,break_bbi,0.7183257234300306
2025-03-25,600835,buy,0.020998873407135993,21.92,0.460295305084421,next_day_entry,0.2575701230405253
2025-03-26,001311,buy,0.014805109909683258,17.38,0.257312810230295,next_day_entry,0.0
2025-03-31,600835,sell,0.020998873407135993,20.56,0.431736837250716,break_bbi,0.43130510041346526
2025-03-31,001311,sell,0.014805109909683258,16.44,0.24339600691519278,break_bbi,0.6744577113217428
2025-04-07,603020,sell,0.009824638039658686,7.85,0.07712340861132068,break_bbi,0.7515039965244522
2025-04-07,603881,sell,0.004305052215847432,24.92,0.10728190121891802,break_bbi,0.8586786158421513
2025-05-13,002570,buy,0.07252353174342495,5.92,0.4293393079210757,next_day_entry,0.4289099686131546
2025-05-15,688686,buy,0.004925640730268176,86.99,0.4284814871260286,next_day_entry,0.0
2025-05-20,002570,sell,0.023932765475330235,6.56,0.15699894151816635,take_profit_8,0.15684194257664819
2025-05-20,688686,sell,0.004925640730268176,84.55,0.41646292374417426,break_bbi,0.5728884033970782
2025-05-20,002392,buy,0.07213946845596923,6.18,0.4458219150578898,next_day_entry,0.1266206664241306
2025-05-21,002570,sell,0.016034952868471255,6.88,0.11032047573508223,take_profit_16,0.23683082168347774
2025-05-21,688143,buy,0.007382035178035,32.05,0.23659422745602174,next_day_entry,0.0
2025-05-23,688143,sell,0.007382035178035,30.97,0.22862162946374395,break_bbi,0.2283930078342802
2025-05-23,300358,buy,0.030708592596404974,7.43,0.22816484299128895,next_day_entry,0.0
2025-06-13,300358,sell,0.030708592596404974,7.37,0.22632232743550465,break_bbi,0.22609600510806915
2025-06-13,002988,buy,0.006184833925878862,36.52,0.22587013497309608,next_day_entry,0.0
2025-06-20,002570,sell,0.03255581339962346,5.95,0.1937070897277596,break_bbi,0.19351338263803183
2025-06-26,600358,buy,0.029787374819022557,6.49,0.1933200625754564,next_day_entry,0.0
2025-07-01,002988,sell,0.0020409951955400246,41.1,0.08388490253669502,take_profit_8,0.08380101763415833
2025-07-01,603585,buy,0.004269112714626442,19.61,0.08371730033382452,next_day_entry,0.0
2025-07-03,603585,sell,0.0014088071958267257,21.32,0.030035769415025792,take_profit_8,0.030005733645610766
2025-07-03,688203,buy,0.0024470006438957587,12.25,0.029975757887723043,next_day_entry,0.0
2025-07-07,688203,sell,0.0008075102124856004,13.24,0.01069143521330935,take_profit_8,0.01068074377809604
2025-07-07,300056,buy,0.0007466811549609272,14.29,0.01067007370439165,next_day_entry,0.0
2025-07-09,002988,sell,0.0013674667810118165,43.0,0.05880107158350811,take_profit_16,0.058742270511924606
2025-07-09,300120,buy,0.006357918410075798,9.23,0.058683586924999614,next_day_entry,0.0
2025-07-14,300056,sell,0.0007466811549609272,13.62,0.010169797330567828,break_bbi,0.01015962753323726
2025-07-14,601899,buy,0.0005381483592355291,18.86,0.01014947805518208,next_day_entry,0.0
2025-07-15,002988,sell,0.002776371949327021,45.81,0.12718559899867085,take_profit_24,0.1270584133996722
2025-07-15,300120,sell,0.006357918410075798,8.93,0.05677621140197687,break_bbi,0.1837778485902471
2025-07-16,002570,buy,0.029659814916948496,6.19,0.1835942543359112,next_day_entry,0.0
2025-07-18,002570,sell,0.029659814916948496,6.12,0.1815180672917248,break_bbi,0.18133654922443307
2025-07-18,002052,buy,0.016232562171200938,11.16,0.18115539383060247,next_day_entry,0.0
2025-07-21,002392,sell,0.02380602459046985,6.93,0.16497575041195606,take_profit_8,0.1648107746615441
2025-07-21,301178,buy,0.004193737354381333,39.26,0.1646461285330111,next_day_entry,0.0
2025-07-23,002392,sell,0.0159500364756148,7.26,0.11579726481296343,take_profit_16,0.11568146754815047
