date,nav
2025-01-02,1.0
2025-01-03,1.0
2025-01-06,1.0
2025-01-07,1.0
2025-01-08,1.0
2025-01-09,1.0
2025-01-10,1.0
2025-01-13,1.0
2025-01-14,1.0
2025-01-15,1.0
2025-01-16,1.0
2025-01-17,1.0
2025-01-20,1.0
2025-01-21,1.0
2025-01-22,1.0
2025-01-23,1.0
2025-01-24,1.0
2025-01-27,1.0
2025-02-05,1.0
2025-02-06,1.0
2025-02-07,1.0
2025-02-10,1.0
2025-02-11,1.0
2025-02-12,1.0
2025-02-13,1.0
2025-02-14,1.0
2025-02-17,1.0
2025-02-18,1.0
2025-02-19,1.0
2025-02-20,1.0
2025-02-21,1.0
2025-02-24,1.0
2025-02-25,1.0
2025-02-26,1.0
2025-02-27,1.00106333
2025-02-28,0.92587233
2025-03-03,0.9242440850000002
2025-03-04,0.9314820850000002
2025-03-05,0.9545500850000002
2025-03-06,1.1010061510000002
2025-03-07,1.1439159150000002
2025-03-10,1.1928310850000001
2025-03-11,1.1896799250000003
2025-03-12,1.1944100160000002
2025-03-13,1.1219628560000001
2025-03-14,1.1458848560000001
2025-03-17,1.16011712
2025-03-18,1.15752312
2025-03-19,1.13422412
2025-03-20,1.1366631200000001
2025-03-21,1.0800713540000002
2025-03-24,1.0444939640000002
2025-03-25,0.9838828470000002
2025-03-26,0.9875465000000002
2025-03-27,0.9742439240000003
2025-03-28,0.9664773130000003
2025-03-31,1.0087965580000002
2025-04-01,1.0197383110000002
2025-04-02,1.0315303360000003
2025-04-03,1.0281443360000002
2025-04-07,1.0121573360000002
2025-04-08,1.0008869210000002
2025-04-09,1.0008869210000002
2025-04-10,1.0008869210000002
2025-04-11,1.0008869210000002
2025-04-14,1.0008869210000002
2025-04-15,1.0008869210000002
2025-04-16,1.0008869210000002
2025-04-17,1.0008869210000002
2025-04-18,1.0008869210000002
2025-04-21,1.0008869210000002
2025-04-22,1.0008869210000002
2025-04-23,1.0008869210000002
2025-04-24,1.0008869210000002
2025-04-25,1.0008869210000002
2025-04-28,1.0008869210000002
2025-04-29,1.0008869210000002
2025-04-30,1.0008869210000002
2025-05-06,1.0008869210000002
2025-05-07,1.0008869210000002
2025-05-08,1.0008869210000002
2025-05-09,1.0008869210000002
2025-05-12,1.0008869210000002
2025-05-13,1.0008869210000002
2025-05-14,1.0008869210000002
2025-05-15,1.0008869210000002
2025-05-16,1.0008869210000002
2025-05-19,1.0008869210000002
2025-05-20,1.0008869210000002
2025-05-21,1.0008869210000002
2025-05-22,1.0008869210000002
2025-05-23,1.0008869210000002
2025-05-26,1.0008869210000002
2025-05-27,1.0008869210000002
2025-05-28,1.0008869210000002
2025-05-29,1.0008869210000002
2025-05-30,1.0008869210000002
2025-06-03,1.0008869210000002
2025-06-04,1.0008869210000002
2025-06-05,1.0088709050000002
2025-06-06,1.0142813170000002
2025-06-09,1.0614933170000003
2025-06-10,1.0273133170000002
2025-06-11,1.0117135900000003
2025-06-12,1.0110265900000004
2025-06-13,1.0224121750000004
2025-06-16,1.0408781210000004
2025-06-17,1.0139081210000005
2025-06-18,1.0219302390000002
2025-06-19,0.9827869020000004
2025-06-20,0.9447803640000004
2025-06-23,0.9794673640000005
2025-06-24,0.9684933640000004
2025-06-25,0.9882383680000003
2025-06-26,0.9822995150000003
2025-06-27,0.9798405150000004
2025-06-30,1.0407945150000004
2025-07-01,1.0949235100000003
2025-07-02,1.0579504100000003
2025-07-03,1.0532644100000004
2025-07-04,1.0518164100000005
2025-07-07,1.0525264050000003
2025-07-08,1.0682197850000004
2025-07-09,1.0709032400000005
2025-07-10,1.0677432400000004
2025-07-11,1.0893473570000003
2025-07-14,1.0731253570000003
2025-07-15,1.0680566450000004
2025-07-16,1.0827450000000005
2025-07-17,1.1147035100000005
2025-07-18,1.1208746580000002
2025-07-21,1.1233206580000004
2025-07-22,1.1306831820000005
2025-07-23,1.1243879730000004
2025-07-24,1.1490803970000003
2025-07-25,1.1499633970000003
2025-07-28,1.1435733970000004
2025-07-29,1.1490103970000003
2025-07-30,1.1333533970000003
2025-07-31,1.2034606870000006
2025-08-01,1.1580213550000007
2025-08-04,1.1636482060000006
2025-08-05,1.1817703960000008
2025-08-06,1.178724099000001
2025-08-07,1.1666581870000008
2025-08-08,1.154716187000001
2025-08-11,1.2038913950000008
2025-08-12,1.1931524720000009
2025-08-13,1.2220307720000008
2025-08-14,1.1697300650000009
2025-08-15,1.1782970650000009
2025-08-18,1.2620323370000008
2025-08-19,1.2557873310000007
2025-08-20,1.2596329010000007
2025-08-21,1.2859339010000008
2025-08-22,1.2864799010000008
2025-08-25,1.3124739780000008
2025-08-26,1.3250134980000008
2025-08-27,1.2993671240000009
2025-08-28,1.357043911000001
2025-08-29,1.3715991290000011
2025-09-01,1.3660354460000008
2025-09-02,1.3363678050000012
2025-09-03,1.328865365000001
2025-09-04,1.336887889000001
2025-09-05,1.380780889000001
2025-09-08,1.376730947000001
2025-09-09,1.3712605260000013
2025-09-10,1.3938145260000012
2025-09-11,1.4533665260000013
2025-09-12,1.5016296430000011
2025-09-15,1.472011643000001
2025-09-16,1.5253931830000012
2025-09-17,1.5385128700000013
2025-09-18,1.5820770770000012
2025-09-19,1.564801825000001
2025-09-22,1.5585666050000013
2025-09-23,1.5299146770000014
2025-09-24,1.5351106770000014
2025-09-25,1.5344085770000016
2025-09-26,1.4696341770000012
2025-09-29,1.4974021770000012
2025-09-30,1.5198661770000013
2025-10-09,1.5406991770000014
2025-10-10,1.5108001770000012
2025-10-13,1.5034851770000013
2025-10-14,1.4777237330000015
2025-10-15,1.5233947330000015
2025-10-16,1.4729898760000015
2025-10-17,1.4607130190000013
2025-10-20,1.4995952190000015
2025-10-21,1.5045652190000014
2025-10-22,1.5393442190000015
2025-10-23,1.5090050160000015
2025-10-24,1.5446582420000015
2025-10-27,1.5446258580000014
2025-10-28,1.5262878580000014
2025-10-29,1.5580333880000015
2025-10-30,1.5106291020000013
2025-10-31,1.4723444060000013
2025-11-03,1.4900834060000014
2025-11-04,1.4327173580000014
2025-11-05,1.4313396910000016
2025-11-06,1.4366244710000016
2025-11-07,1.4546064710000015
2025-11-10,1.5105767270000015
2025-11-11,1.5134570770000015
2025-11-12,1.5286160770000015
2025-11-13,1.5293140770000015
2025-11-14,1.5388052550000018
2025-11-17,1.5231932550000018
2025-11-18,1.4841446130000018
2025-11-19,1.4188315300000016
2025-11-20,1.4408238340000017
2025-11-21,1.3425907880000016
2025-11-24,1.3400120940000018
2025-11-25,1.3412440940000017
2025-11-26,1.3403800940000017
2025-11-27,1.3408840940000017
2025-11-28,1.3423480940000017
2025-12-01,1.3564759400000017
2025-12-02,1.3708663400000016
2025-12-03,1.3378574050000018
2025-12-04,1.3415926500000017
2025-12-05,1.372118057000002
2025-12-08,1.388497057000002
2025-12-09,1.3862018490000019
2025-12-10,1.3866278490000017
2025-12-11,1.382306849000002
2025-12-12,1.3800508490000019
2025-12-15,1.3750440730000018
2025-12-16,1.3713953830000019
2025-12-17,1.3715433830000017
2025-12-18,1.3713993830000017
2025-12-19,1.3714273830000019
2025-12-22,1.3715193830000019
2025-12-23,1.3715833830000017
2025-12-24,1.3716953830000018
2025-12-25,1.3716193830000019
2025-12-26,1.3715953830000018
2025-12-29,1.3715113830000019
