strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,cooldown_days,risk_asset_exposure,top_n,strategy_family,fixed_weights,gross_exposure,momentum_window,volatility_window,trend_window,rebalance_interval,cost_rate,drawdown_half,drawdown_quarter,drawdown_stop,passes_return_gate,passes_drawdown_gate
sat_top1_m20_v60_t200_f10_dd30,-0.31422594540731985,-0.069633138822903,0.08255044673773859,-0.3530229991284717,-0.8435222530548665,-0.19724816511901594,-0.5354679417401879,15.0,19.0,0.015,1076.0,0.05918057663125948,1,ram_trend,,1.0,20,60,200,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top1_m10_v60_t120_f10_dd30,-0.2862839818287002,-0.0624963270670833,0.08764566708323926,-0.31679821893191396,-0.7130566649430484,-0.19727486877227352,-0.48412707832696195,20.0,21.0,0.02,1086.0,0.06866464339908952,1,ram_trend,,1.0,10,60,120,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top1_m10_v10_t120_f10_dd30,-0.2865597952200145,-0.06256566094918914,0.06538046197288165,-0.3170622401888161,-0.9569473671681912,-0.19732927172888892,-0.6315941210874392,15.0,21.0,0.015,1087.0,0.05330045523520486,1,ram_trend,,1.0,10,10,120,10,0.001,-0.15,-0.22,-0.3,False,False
fixed_513100_518880_512480_40_40_20_x3_0,-0.28392062607081103,-0.06190311400059434,0.13290132354932221,-0.31359862549735296,-0.4657825245632028,-0.19739599911325778,-0.3781196867426743,18.0,11.0,0.018000000000000002,936.0,3.0,,fixed_blend,513100:0.40;518880:0.40;512480:0.20,3.0,,,,21,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m20_v20_t120_f10_dd30,-0.30644766803637236,-0.06762317295312159,0.09189051216793806,-0.3421285665566769,-0.7359102845083096,-0.197654272584453,-0.4839596767992026,20.755867608454434,25.0,0.020755867608454433,1076.0,0.09332321699544764,2,ram_trend,,1.0,20,20,120,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top1_m20_v20_t120_f5_dd30,-0.31790196367081036,-0.07058947130808157,0.08886165911134246,-0.35649104994686365,-0.7943748970479374,-0.19801190329631896,-0.5451811182952156,26.5,33.0,0.0265,1076.0,0.07056145675265554,1,ram_trend,,1.0,20,20,120,5,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v60_t120_f5_dd30,-0.28356957192488874,-0.061815132911576476,0.07500812031327712,-0.3111696087906126,-0.8241125447938286,-0.19865414605181494,-0.6181804442145237,44.67263983659744,76.0,0.044672639836597444,896.0,0.10242792109256449,2,ram_trend,,1.0,10,60,120,5,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v60_t60_f10_dd30,-0.28364682045379797,-0.06183448992354579,0.06694553795090008,-0.31124388136796843,-0.9236536416944936,-0.1986689333514701,-0.6682945159155153,24.05709109292331,39.0,0.02405709109292331,915.0,0.09066767830045523,2,ram_trend,,1.0,10,60,60,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v60_t120_f21_dd30,-0.28414549950506685,-0.06195949004476309,0.08839431771981932,-0.3117233491187953,-0.700944264779034,-0.19876435377688317,-0.538242733259885,23.90653718251378,36.0,0.02390653718251378,641.0,0.1441578148710167,2,ram_trend,,1.0,10,60,120,21,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v60_t120_f10_dd30,-0.2843336817291946,-0.06200667856545894,0.08493761034811155,-0.31190428173972384,-0.7300261722849088,-0.19880034419406248,-0.5349835596327589,26.87901410363624,41.0,0.02687901410363624,910.0,0.09863429438543247,2,ram_trend,,1.0,10,60,120,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v20_t200_f21_dd30,-0.28311408234567825,-0.0617010301909372,0.11703756300123155,-0.3103490684434106,-0.5271899773775017,-0.198811713856289,-0.42246128656599746,26.175915185242985,33.0,0.026175915185242985,709.0,0.16217754172989376,2,ram_trend,,1.0,10,20,200,21,0.001,-0.15,-0.22,-0.3,False,False
