strategy,window,start,end,take_profit_levels,take_profit_fractions,annual_return,max_drawdown,calmar,passes_return_gate,passes_drawdown_gate,trade_count,candidate_count
tp8_16_24_f33_33_100,oos_2026,2026-01-01,2026-05-15,0.08/0.16/0.24,0.33/0.33/1.00,0.8902107077990016,-0.15064067950292181,5.909497426169902,True,True,50.0,85.0
tp8_16_24_f33_33_100,wf_2025_h1,2025-01-01,2025-06-30,0.08/0.16/0.24,0.33/0.33/1.00,0.02203817702954547,-0.17239752912917772,0.12783348543836862,False,True,29.0,68.0
tp8_16_24_f33_33_100,wf_2025_h2,2025-07-01,2025-12-31,0.08/0.16/0.24,0.33/0.33/1.00,1.2590800393872201,-0.16254795405597255,7.7458990283794185,True,True,152.0,201.0
tp8_16_24_f50_50_100,full,2025-01-01,2026-05-15,0.08/0.16/0.24,0.50/0.50/1.00,0.7972212249528674,-0.1697267588367366,4.697086248608151,True,True,255.0,354.0
tp8_16_24_f50_50_100,train_2025,2025-01-01,2025-12-31,0.08/0.16/0.24,0.50/0.50/1.00,0.6507111913673054,-0.1697267588367366,3.8338750814963527,True,True,183.0,269.0
tp8_16_24_f50_50_100,oos_2026,2026-01-01,2026-05-15,0.08/0.16/0.24,0.50/0.50/1.00,1.3142998770539713,-0.15064067950292181,8.724734124878129,True,True,56.0,85.0
tp8_16_24_f50_50_100,wf_2025_h1,2025-01-01,2025-06-30,0.08/0.16/0.24,0.50/0.50/1.00,0.1279449169113691,-0.1697267588367366,0.7538287880371402,False,True,29.0,68.0
tp8_16_24_f50_50_100,wf_2025_h2,2025-07-01,2025-12-31,0.08/0.16/0.24,0.50/0.50/1.00,1.298056792786999,-0.15036522635518257,8.632692705963924,True,True,152.0,201.0
tp8_16_24_f100_100_100,full,2025-01-01,2026-05-15,0.08/0.16/0.24,1.00/1.00/1.00,1.274034619098963,-0.15946925489995967,7.989217858315116,True,True,164.0,354.0
tp8_16_24_f100_100_100,train_2025,2025-01-01,2025-12-31,0.08/0.16/0.24,1.00/1.00/1.00,1.0520848550066941,-0.14634676800986102,7.188985922366276,True,True,115.0,269.0
tp8_16_24_f100_100_100,oos_2026,2026-01-01,2026-05-15,0.08/0.16/0.24,1.00/1.00/1.00,2.1238126766400067,-0.15064067950292181,14.098533567745978,True,True,44.0,85.0
tp8_16_24_f100_100_100,wf_2025_h1,2025-01-01,2025-06-30,0.08/0.16/0.24,1.00/1.00/1.00,0.5257338416587907,-0.14634676800986102,3.5923843676777754,True,True,28.0,68.0
tp8_16_24_f100_100_100,wf_2025_h2,2025-07-01,2025-12-31,0.08/0.16/0.24,1.00/1.00/1.00,0.6526654741677356,-0.2079684654059687,3.1382905715714537,True,True,77.0,201.0
tp10_20_30_f25_25_100,full,2025-01-01,2026-05-15,0.10/0.20/0.30,0.25/0.25/1.00,0.6663771916495667,-0.2212157656322602,3.012340416809732,True,True,210.0,354.0
tp10_20_30_f25_25_100,train_2025,2025-01-01,2025-12-31,0.10/0.20/0.30,0.25/0.25/1.00,0.47847874080185115,-0.2212157656322602,2.1629504544321407,False,True,158.0,269.0
tp10_20_30_f25_25_100,oos_2026,2026-01-01,2026-05-15,0.10/0.20/0.30,0.25/0.25/1.00,0.9115722463358698,-0.15064067950292181,6.051302007823119,True,True,44.0,85.0
tp10_20_30_f25_25_100,wf_2025_h1,2025-01-01,2025-06-30,0.10/0.20/0.30,0.25/0.25/1.00,-0.11668244562842622,-0.2212157656322602,-0.5274599000434455,False,True,29.0,68.0
tp10_20_30_f25_25_100,wf_2025_h2,2025-07-01,2025-12-31,0.10/0.20/0.30,0.25/0.25/1.00,1.2999047014077796,-0.18165262374264768,7.155991885090472,True,True,137.0,201.0
tp10_20_30_f33_33_100,full,2025-01-01,2026-05-15,0.10/0.20/0.30,0.33/0.33/1.00,0.7166215029575815,-0.20607557540659904,3.477469377647719,True,True,210.0,354.0
tp10_20_30_f33_33_100,train_2025,2025-01-01,2025-12-31,0.10/0.20/0.30,0.33/0.33/1.00,0.5432697818570711,-0.20607557540659904,2.6362647819139573,True,True,158.0,269.0
tp10_20_30_f33_33_100,oos_2026,2026-01-01,2026-05-15,0.10/0.20/0.30,0.33/0.33/1.00,0.869723401412317,-0.15064067950292181,5.773496271274108,True,True,44.0,85.0
tp10_20_30_f33_33_100,wf_2025_h1,2025-01-01,2025-06-30,0.10/0.20/0.30,0.33/0.33/1.00,-0.04420266733788614,-0.197535294558694,-0.22377098450501018,False,True,29.0,68.0
tp10_20_30_f33_33_100,wf_2025_h2,2025-07-01,2025-12-31,0.10/0.20/0.30,0.33/0.33/1.00,1.2017098639579125,-0.21839199691690925,5.502536177711321,True,True,128.0,201.0
tp10_20_30_f50_50_100,full,2025-01-01,2026-05-15,0.10/0.20/0.30,0.50/0.50/1.00,0.7798827013959844,-0.21427810308749173,3.6395818805505806,True,True,214.0,354.0
tp10_20_30_f50_50_100,train_2025,2025-01-01,2025-12-31,0.10/0.20/0.30,0.50/0.50/1.00,0.628292242879245,-0.21427810308749173,2.9321346130393335,True,True,162.0,269.0
tp10_20_30_f50_50_100,oos_2026,2026-01-01,2026-05-15,0.10/0.20/0.30,0.50/0.50/1.00,1.3160075443803767,-0.15064067950292181,8.736070155305237,True,True,50.0,85.0
tp10_20_30_f50_50_100,wf_2025_h1,2025-01-01,2025-06-30,0.10/0.20/0.30,0.50/0.50/1.00,0.10134523806056528,-0.1787977682091706,0.5668148941434452,False,True,29.0,68.0
tp10_20_30_f50_50_100,wf_2025_h2,2025-07-01,2025-12-31,0.10/0.20/0.30,0.50/0.50/1.00,1.1764304174971087,-0.21876329820398788,5.377640706441238,True,True,128.0,201.0
tp10_20_30_f100_100_100,full,2025-01-01,2026-05-15,0.10/0.20/0.30,1.00/1.00/1.00,1.1580298289887594,-0.1602199129297549,7.227752205161124,True,True,119.0,354.0
tp10_20_30_f100_100_100,train_2025,2025-01-01,2025-12-31,0.10/0.20/0.30,1.00/1.00/1.00,0.9202524400779637,-0.1602199129297549,5.743683311583307,True,True,77.0,269.0
tp10_20_30_f100_100_100,oos_2026,2026-01-01,2026-05-15,0.10/0.20/0.30,1.00/1.00/1.00,1.7389410886573016,-0.15064067950292181,11.543635453553389,True,True,41.0,85.0
tp10_20_30_f100_100_100,wf_2025_h1,2025-01-01,2025-06-30,0.10/0.20/0.30,1.00/1.00/1.00,0.4476768902157917,-0.1602199129297549,2.794140141694287,False,True,22.0,68.0
tp10_20_30_f100_100_100,wf_2025_h2,2025-07-01,2025-12-31,0.10/0.20/0.30,1.00/1.00/1.00,0.6909533184414263,-0.17780738494726378,3.8859652463049126,True,True,63.0,201.0
tp12_24_36_f25_25_100,full,2025-01-01,2026-05-15,0.12/0.24/0.36,0.25/0.25/1.00,0.5363921535569098,-0.2571054607993152,2.0862728931906784,True,True,192.0,354.0
tp12_24_36_f25_25_100,train_2025,2025-01-01,2025-12-31,0.12/0.24/0.36,0.25/0.25/1.00,0.36436382091331576,-0.2571054607993152,1.417176514962168,False,True,144.0,269.0
