date,symbol,score,close,target_weight
2025-01-20,002988,8.259106593549733,20.15,0.5
2025-01-21,002988,5.416949485014562,20.28,0.5
2025-01-24,002052,41.743817067376995,6.09,0.5
2025-01-24,301004,36.440331129936105,79.71,0.5
2025-02-06,301004,34.650033294605294,78.63,0.5
2025-02-06,002931,31.376599074650002,16.09,0.5
2025-02-07,301004,35.50441509914694,78.49,0.5
2025-02-07,002931,32.0068515420234,16.05,0.5
2025-02-10,301004,24.746944315784127,77.66,0.5
2025-02-10,301363,7.062454284187848,16.1,0.5
2025-02-11,301004,11.67384878234152,78.07,0.5
2025-02-12,301004,8.028476136905866,77.69,0.5
2025-02-13,603408,11.821335985066144,11.67,0.5
2025-02-13,002392,6.687876865183854,4.53,0.5
2025-02-14,603332,22.705550217337052,9.18,0.5
2025-02-14,600901,10.442036522402713,4.56,0.5
2025-02-17,603332,22.625287303017718,9.3,0.5
2025-02-18,301299,47.57934728387915,72.72,0.5
2025-02-18,603020,30.143492785680465,7.94,0.5
2025-02-19,301299,42.594784242642525,75.8,0.5
2025-02-19,603332,37.064278363384624,9.0,0.5
2025-02-20,688023,35.973939381021,66.84,0.5
2025-02-20,301299,33.8126539793217,76.01,0.5
2025-02-21,688023,31.03926593686725,68.91,0.5
2025-02-21,603332,17.59788789237336,8.98,0.5
2025-02-24,688023,40.0123862896164,66.28,0.5
2025-02-24,301299,19.533473064404614,73.86,0.5
2025-02-25,688023,44.01421972719352,65.8,0.5
2025-02-25,300634,32.01920215036556,30.39,0.5
2025-02-26,688023,31.361164655756447,67.24,0.5
2025-02-26,300634,28.05719937221429,30.88,0.5
2025-02-27,300634,35.420104268992,29.18,0.5
2025-02-27,301299,23.78753081070634,70.12,0.5
2025-02-28,603881,66.18764475366295,27.86,0.5
2025-02-28,300634,45.03195457217673,27.46,0.5
2025-03-03,603881,77.97152238914022,28.33,0.5
2025-03-03,002988,47.76322656822204,21.73,0.5
2025-03-05,603881,46.833259254027965,30.59,0.5
2025-03-05,300952,36.237837056371895,20.34,0.5
2025-03-06,300952,23.01421378992824,20.82,0.5
2025-03-06,300685,21.666243879680366,23.1,0.5
2025-03-07,300582,22.30925125907446,14.12,0.5
2025-03-07,300898,19.426331525301052,25.93,0.5
2025-03-10,300898,34.706673253243274,25.39,0.5
2025-03-10,300582,25.89921494859254,14.07,0.5
2025-03-11,600137,25.027939963904828,15.71,0.5
2025-03-11,300795,21.228141104029326,16.98,0.5
2025-03-12,600137,26.530159395813552,15.81,0.5
2025-03-12,300795,17.63383908870745,17.09,0.5
2025-03-13,600137,31.16527768625996,15.61,0.5
2025-03-13,300795,25.494258897000165,16.82,0.5
2025-03-14,600137,18.819482121693213,15.81,0.5
2025-03-17,688686,29.890621048912212,93.37,0.5
2025-03-17,688023,19.74151226097154,62.85,0.5
2025-03-18,688686,42.07986955878739,93.38,0.5
2025-03-18,300634,24.895303422479778,28.93,0.5
2025-03-19,688686,50.21940272365449,90.62,0.5
2025-03-19,600835,38.50841756247247,22.88,0.5
2025-03-20,688612,44.21881641215038,28.37,0.5
2025-03-20,688686,41.47012278278133,91.48,0.5
2025-03-24,603881,41.53181435100361,29.32,0.5
2025-03-24,600835,38.14761234098824,22.07,0.5
2025-03-25,603881,60.860921594706,27.22,0.5
2025-03-25,001311,39.542958768956666,17.07,0.5
2025-03-27,603881,64.88458790853197,27.21,0.5
2025-03-27,001311,47.12224280386571,17.11,0.5
2025-05-12,002570,15.542964234365936,6.07,0.5
2025-05-13,002570,23.396892015298686,5.92,0.5
2025-05-14,688686,14.69317415363616,87.89,0.5
2025-05-15,688686,47.12208591960403,86.99,0.5
2025-05-15,603881,4.766053603294511,26.42,0.5
2025-05-16,688686,48.917029826726505,86.83,0.5
2025-05-16,002392,34.751953450058004,6.15,0.5
2025-05-19,002392,44.76443875203105,6.17,0.5
2025-05-19,688686,44.7386434271906,86.21,0.5
2025-05-20,002392,44.09280452521776,6.18,0.5
2025-05-20,688143,36.46115877032625,32.43,0.5
2025-05-21,688143,37.65186959284737,32.05,0.5
2025-05-21,002392,29.933463202349305,6.28,0.5
2025-05-22,688143,42.59081288711515,31.66,0.5
