date,close
2017-01-03,10949585.0
2017-01-04,10857912.0
2017-01-05,11143111.0
2017-01-06,10888472.0
2017-01-09,10531974.0
2017-01-10,10389376.0
2017-01-11,10277332.0
2017-01-12,10531974.0
2017-01-13,10328258.0
2017-01-17,10837542.0
2017-01-18,10379186.0
2017-01-19,10531974.0
2017-01-20,10114360.0
2017-01-23,10297700.0
2017-01-24,9686561.0
2017-01-25,9268951.0
2017-01-26,9421736.0
2017-01-27,9075424.0
2017-01-30,9207837.0
2017-01-31,9574522.0
2017-02-01,9105981.0
2017-02-02,9126350.0
2017-02-03,8973566.0
2017-02-06,8881898.0
2017-02-07,8790227.0
2017-02-08,8739298.0
2017-02-09,8953196.0
2017-02-10,8983751.0
2017-02-13,8922638.0
2017-02-14,9004121.0
2017-02-15,8780041.0
2017-02-16,8759669.0
2017-02-17,8617068.0
2017-02-21,8240197.0
2017-02-22,8230012.0
2017-02-23,8647627.0
2017-02-24,8667996.0
2017-02-27,8392983.0
2017-02-28,8718924.0
2017-03-01,8301311.0
2017-03-02,8576325.0
2017-03-03,8586512.0
2017-03-06,8566141.0
2017-03-07,8515213.0
2017-03-08,8454098.0
2017-03-09,8403170.0
2017-03-10,8107785.5
2017-03-13,7934628.5
2017-03-14,7995743.5
2017-03-15,7812403.0
2017-03-16,7832774.0
2017-03-17,7792030.0
2017-03-20,7629059.0
2017-03-21,8158714.0
2017-03-22,7883700.5
2017-03-23,7944816.0
2017-03-24,7761473.0
2017-03-27,7741102.0
2017-03-28,7659616.5
2017-03-29,7720731.0
2017-03-30,7588317.5
2017-03-31,7598503.0
2017-04-03,7730915.5
2017-04-04,7842958.5
2017-04-05,8016113.5
2017-04-06,7985557.0
2017-04-07,7883700.5
2017-04-10,8056857.5
2017-04-11,8270759.0
2017-04-12,8678181.0
2017-04-13,8851337.0
2017-04-17,8525397.0
2017-04-18,8413355.0
2017-04-19,8260571.5
2017-04-20,7883700.5
2017-04-21,7975372.0
2017-04-24,7639244.5
2017-04-25,7404974.5
2017-04-26,7578131.0
2017-04-27,7262375.0
2017-04-28,7639244.5
2017-05-01,7411087.0
2017-05-02,7649429.5
2017-05-03,7563872.0
2017-05-04,7578131.0
2017-05-05,7494608.0
2017-05-08,7580168.5
2017-05-09,7349972.0
2017-05-10,6885505.5
2017-05-11,6810131.0
2017-05-12,6744944.5
2017-05-15,6439374.5
2017-05-16,6150102.0
2017-05-17,6956805.5
2017-05-18,6561601.5
2017-05-19,6345666.5
2017-05-22,6143990.0
2017-05-23,6205104.5
2017-05-24,6091024.5
2017-05-25,5993242.5
2017-05-26,5907682.5
2017-05-30,5799714.5
2017-05-31,5803789.0
2017-06-01,5789528.5
2017-06-02,5618411.0
2017-06-05,5569519.0
2017-06-06,5512479.5
2017-06-07,5384139.5
2017-06-08,5103015.5
2017-06-09,5738600.5
2017-06-12,5830272.5
2017-06-13,5722304.5
2017-06-14,5907682.5
2017-06-15,6052319.5
2017-06-16,6115470.0
2017-06-19,5763046.5
2017-06-20,5956574.5
2017-06-21,5756936.0
2017-06-22,5791566.5
2017-06-23,5728415.5
2017-06-26,5881200.5
2017-06-27,6355852.0
2017-06-28,6019726.0
2017-06-29,6478080.0
2017-06-30,6577899.5
2017-07-03,6828466.0
2017-07-05,6427151.0
2017-07-06,6504562.0
2017-07-07,6194919.0
2017-07-10,5966760.0
2017-07-11,5805826.0
2017-07-12,5549147.5
2017-07-13,5593965.5
2017-07-14,5375990.5
2017-07-17,5439142.5
2017-07-18,5382102.5
2017-07-19,5235429.5
2017-07-20,5194688.0
2017-07-21,5316914.0
2017-07-24,5375990.5
2017-07-25,5382102.5
2017-07-26,5204873.5
2017-07-27,5449328.0
2017-07-28,5520627.5
2017-07-31,5626559.5
2017-08-01,5538961.0
2017-08-02,5659152.5
2017-08-03,5726378.5
2017-08-04,5706006.5
2017-08-07,5412660.0
2017-08-08,5471736.5
2017-08-09,5524701.0
2017-08-10,5976945.0
2017-08-11,5887311.0
2017-08-14,5428956.0
2017-08-15,5382102.5
2017-08-16,5363768.0
2017-08-17,5779343.5
2017-08-18,5740636.5
2017-08-21,5864903.5
2017-08-22,5579705.5
2017-08-23,5512479.5
2017-08-24,5516553.0
2017-08-25,5593965.5
2017-08-28,5551186.0
2017-08-29,5512479.5
2017-08-30,5227280.5
2017-08-31,5076533.5
2017-09-01,5011345.0
2017-09-05,5210984.0
2017-09-06,5186538.5
2017-09-07,5166166.5
2017-09-08,5351545.5
2017-09-11,5037827.0
2017-09-12,4972639.0
2017-09-13,4948195.0
2017-09-14,4880968.5
2017-09-15,4634475.5
2017-09-18,4451132.5
2017-09-19,4402241.5
2017-09-20,4581510.0
2017-09-21,4644662.0
2017-09-22,4583547.0
2017-09-25,4846337.0
2017-09-26,4854486.5
2017-09-27,4512248.0
2017-09-28,4410390.5
2017-09-29,4302422.0
2017-10-02,4225011.5
2017-10-03,4184268.75
2017-10-04,4157786.75
2017-10-05,4143526.5
2017-10-06,4094635.25
2017-10-09,4000927.5
2017-10-10,3931665.25
2017-10-11,3854253.75
2017-10-12,3892959.5
2017-10-13,3817585.0
2017-10-16,3760545.75
2017-10-17,3768694.5
2017-10-18,3729989.25
2017-10-19,3760545.75
2017-10-20,3705543.5
2017-10-23,3648503.25
2017-10-24,3575166.75
2017-10-25,3715728.75
2017-10-26,3648503.25
2017-10-27,3416270.5
2017-10-30,3391824.75
2017-10-31,3308302.5
2017-11-01,3342933.75
2017-11-02,3298116.25
2017-11-03,3124960.5
2017-11-06,2992546.75
