date,close
,SQQQ
2017-01-03,98437.3046875
2017-01-04,96733.4375
2017-01-05,95261.90625
2017-01-06,92628.6484375
2017-01-09,91776.7265625
2017-01-10,91157.1171875
2017-01-11,90537.53125
2017-01-12,90827.984375
2017-01-13,89859.8671875
2017-01-17,90711.7890625
2017-01-18,90189.0234375
2017-01-19,90266.4609375
2017-01-20,89666.25
2017-01-23,89550.0625
2017-01-24,87691.3046875
2017-01-25,85019.328125
2017-01-26,84767.6171875
2017-01-27,84283.546875
2017-01-30,86239.1171875
2017-01-31,86761.921875
2017-02-01,84980.59375
2017-02-02,85251.671875
2017-02-03,84535.2578125
2017-02-06,84225.46875
2017-02-07,83296.0859375
2017-02-08,82908.84375
2017-02-09,81979.453125
2017-02-10,81185.6015625
2017-02-13,79791.5390625
2017-02-14,78978.328125
2017-02-15,77622.953125
2017-02-16,77681.046875
2017-02-17,76712.9296875
2017-02-21,75551.203125
2017-02-22,75454.390625
2017-02-23,76325.7109375
2017-02-24,75899.7265625
2017-02-27,75609.3046875
2017-02-28,76248.265625
2017-03-01,73789.2578125
2017-03-02,74912.2578125
2017-03-03,74505.65625
2017-03-06,74970.34375
2017-03-07,75396.3125
2017-03-08,74989.71875
2017-03-09,74815.4375
2017-03-10,73905.4453125
2017-03-13,73479.4609375
2017-03-14,74079.7109375
2017-03-15,72724.3359375
2017-03-16,72821.15625
2017-03-17,73034.140625
2017-03-20,72743.703125
2017-03-21,76015.8984375
2017-03-22,74544.3828125
2017-03-23,75086.5390625
2017-03-24,74621.8515625
2017-03-27,74273.296875
2017-03-28,72879.2421875
2017-03-29,71930.4921875
2017-03-30,71562.6171875
2017-03-31,71736.859375
2017-04-03,71853.0234375
2017-04-04,71523.8984375
2017-04-05,72395.1640625
2017-04-06,72279.0234375
2017-04-07,72395.1640625
2017-04-10,72317.7265625
2017-04-11,73208.3828125
2017-04-12,74157.125
2017-04-13,75047.8046875
2017-04-17,73208.3828125
2017-04-18,73498.8203125
2017-04-19,73189.03125
2017-04-20,71446.4453125
2017-04-21,71427.0625
2017-04-24,68871.2578125
2017-04-25,67380.375
2017-04-26,67632.09375
2017-04-27,66470.359375
2017-04-28,66102.46875
2017-05-01,64417.95703125
2017-05-02,64050.08203125
2017-05-03,64669.671875
2017-05-04,64572.85546875
2017-05-05,63895.1796875
2017-05-08,63469.23046875
2017-05-09,62810.91796875
2017-05-10,62714.08984375
2017-05-11,62868.9921875
2017-05-12,62423.65625
2017-05-15,61862.15234375
2017-05-16,61107.0390625
2017-05-17,65734.59375
2017-05-18,64030.7265625
2017-05-19,63236.859375
2017-05-22,61629.80859375
2017-05-23,61474.91015625
2017-05-24,60622.98046875
2017-05-25,59093.3671875
2017-05-26,58783.55859375
2017-05-30,58648.0234375
2017-05-31,58744.85546875
2017-06-01,57989.7109375
2017-06-02,56034.140625
2017-06-05,56072.8671875
2017-06-06,56750.53515625
2017-06-07,56092.2265625
2017-06-08,55898.59765625
2017-06-09,60022.75
2017-06-12,61048.9453125
2017-06-13,59616.14453125
2017-06-14,60371.265625
2017-06-15,61203.84375
2017-06-16,61939.6015625
2017-06-19,58957.82421875
2017-06-20,60293.82421875
2017-06-21,58570.58203125
2017-06-22,58589.9375
2017-06-23,57950.9765625
2017-06-26,58725.48046875
2017-06-27,61881.515625
2017-06-28,59325.71875
2017-06-29,62346.21484375
2017-06-30,62501.109375
2017-07-03,64243.68359375
2017-07-05,62462.375
2017-07-06,64069.453125
2017-07-07,62133.20703125
2017-07-10,60855.3125
2017-07-11,60371.265625
2017-07-12,58202.71484375
2017-07-13,57834.82421875
2017-07-14,56479.4765625
2017-07-17,56402.02734375
2017-07-18,55298.375
2017-07-19,54291.5390625
2017-07-20,54059.203125
2017-07-21,54117.29296875
2017-07-24,53439.60546875
2017-07-25,53807.48828125
2017-07-26,53323.4375
2017-07-27,54252.80859375
2017-07-28,54465.80078125
2017-07-31,55201.56640625
2017-08-01,54814.3203125
2017-08-02,54388.359375
2017-08-03,54988.57421875
2017-08-04,54736.87890625
2017-08-07,53730.0390625
2017-08-08,54001.11328125
2017-08-09,54156.00390625
2017-08-10,57679.92578125
2017-08-11,56382.6640625
2017-08-14,54214.08984375
2017-08-15,54078.5546875
2017-08-16,53826.8515625
2017-08-17,57118.4375
2017-08-18,57292.68359375
2017-08-21,57466.92578125
2017-08-22,54891.76953125
2017-08-23,55472.63671875
2017-08-24,55976.04296875
2017-08-25,56324.5625
2017-08-28,55859.875
2017-08-29,55124.11328125
2017-08-30,53245.98046875
2017-08-31,51716.37109375
2017-09-01,51716.37109375
2017-09-05,53110.4609375
2017-09-06,52684.48046875
2017-09-07,52316.59765625
2017-09-08,53613.87109375
2017-09-11,51909.9921875
2017-09-12,51445.30078125
2017-09-13,51271.03125
2017-09-14,52142.3515625
2017-09-15,51658.29296875
2017-09-18,51832.546875
2017-09-19,51561.46484375
2017-09-20,52026.171875
2017-09-21,53013.63671875
2017-09-22,53168.53125
2017-09-25,54814.3203125
2017-09-26,54446.44921875
