date,close
2017-01-03,73342.4921875
2017-01-04,72614.21875
2017-01-05,72014.4609375
2017-01-06,70557.875
2017-01-09,70515.03125
2017-01-10,70600.7265625
2017-01-11,69658.2421875
2017-01-12,69915.2734375
2017-01-13,69486.8671875
2017-01-17,70129.4921875
2017-01-18,69572.546875
2017-01-19,70000.9609375
2017-01-20,68887.1015625
2017-01-23,68501.546875
2017-01-24,67173.4921875
2017-01-25,65288.51953125
2017-01-26,65588.4140625
2017-01-27,64945.8046875
2017-01-30,66573.75
2017-01-31,67430.5546875
2017-02-01,66231.015625
2017-02-02,66530.8984375
2017-02-03,65117.171875
2017-02-06,65031.484375
2017-02-07,64260.37109375
2017-02-08,63917.65234375
2017-02-09,63275.05078125
2017-02-10,62803.80859375
2017-02-13,61904.16015625
2017-02-14,61304.40234375
2017-02-15,60661.7734375
2017-02-16,60233.37890625
2017-02-17,59719.3046875
2017-02-21,58648.2890625
2017-02-22,58434.08984375
2017-02-23,58476.94921875
2017-02-24,58048.53515625
2017-02-27,58305.58203125
2017-02-28,58948.18359375
2017-03-01,56549.12109375
2017-03-02,57620.125
2017-03-03,57363.0859375
2017-03-06,57577.2890625
2017-03-07,57577.2890625
2017-03-08,57363.0859375
2017-03-09,57363.0859375
2017-03-10,56506.28125
2017-03-13,56163.5625
2017-03-14,56720.48046875
2017-03-15,55606.640625
2017-03-16,55306.75390625
2017-03-17,55135.39453125
2017-03-20,54921.19921875
2017-03-21,57277.4140625
2017-03-22,56163.5625
2017-03-23,56634.80078125
2017-03-24,56591.96484375
2017-03-27,56549.12109375
2017-03-28,55349.59375
2017-03-29,55049.7109375
2017-03-30,54792.6875
2017-03-31,54964.02734375
2017-04-03,55221.08984375
2017-04-04,55135.39453125
2017-04-05,55692.3125
2017-04-06,55820.83203125
2017-04-07,55863.6796875
2017-04-10,56249.24609375
2017-04-11,56806.16796875
2017-04-12,57405.91796875
2017-04-13,58005.6953125
2017-04-17,56549.12109375
2017-04-18,56549.12109375
2017-04-19,56677.64453125
2017-04-20,55221.08984375
2017-04-21,55478.1171875
2017-04-24,53507.46484375
2017-04-25,52607.81640625
2017-04-26,52822.01953125
2017-04-27,52136.5703125
2017-04-28,51793.859375
2017-05-01,50637.16796875
2017-05-02,50422.97265625
2017-05-03,50680.01171875
2017-05-04,50722.85546875
2017-05-05,50123.0859375
2017-05-08,49480.48828125
