strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate,stop_loss_pct,stop_count
ram_top2_m60_v60_monthly_cost,0.3719730796674865,0.06238088877165726,0.12436259991658016,-0.19184555156187777,0.5016048941844338,0.3251620288497383,0.5937138617807918,51.622885596483506,63.0,0.05162288559648351,ram_topn,2.0,60.0,60.0,21.0,0.001,,
ram_top2_m60_v60_monthly_trend120_cost,0.36513471524975527,0.06136562554835501,0.12426106034065972,-0.19184555156187788,0.4938443739343775,0.3198699425071742,0.5822820965105144,51.87519499451522,63.0,0.05187519499451522,ram_topn_trend_filter,2.0,60.0,60.0,21.0,0.001,,
ram_top2_m60_v60_monthly_stop05_cost,-0.003103055226436835,-0.0005944972336774379,0.11355033493937594,-0.24220389616815752,-0.005235539234603205,-0.0024545320826081587,-0.005746437985210124,76.13282206822345,63.0,0.07613282206822344,ram_topn_stoploss,,,,,,0.05,18.0
ram_top2_m60_v60_monthly_stop10_cost,0.2806465446309603,0.04846984590428405,0.12343998434875048,-0.19184555156187788,0.39265920325576165,0.2526503508143663,0.46136070925292216,53.33879654905157,63.0,0.053338796549051576,ram_topn_stoploss,,,,,,0.1,2.0
ram_top2_m60_v60_monthly_stop15_cost,0.3719730796674865,0.06238088877165726,0.12436259991658016,-0.19184555156187777,0.5016048941844338,0.3251620288497383,0.5937138617807918,51.622885596483506,63.0,0.05162288559648351,ram_topn_stoploss,,,,,,0.15,0.0
