date,open,close,high,low,amount
2024-06-03,4.16,4.0,4.18,3.96,417315.0
2024-06-04,4.0,3.92,4.01,3.85,353718.0
2024-06-05,3.89,3.9,4.01,3.88,269173.0
2024-06-06,3.9,3.65,3.92,3.63,478153.0
2024-06-07,3.66,3.7,3.75,3.63,213295.0
2024-06-11,3.69,3.73,3.75,3.6,208330.0
2024-06-12,3.74,3.79,3.81,3.72,211343.0
2024-06-13,3.78,3.7,3.79,3.69,192072.0
2024-06-14,3.69,3.71,3.72,3.65,160794.0
2024-06-17,3.68,3.69,3.75,3.67,131499.0
2024-06-18,3.69,3.84,3.86,3.67,295024.0
2024-06-19,3.86,3.88,3.97,3.81,338721.0
2024-06-20,3.85,3.72,3.86,3.72,242949.0
2024-06-21,3.7,3.72,3.75,3.66,123070.0
2024-06-24,3.67,3.53,3.68,3.53,206439.0
2024-06-25,3.52,3.53,3.59,3.49,135803.0
2024-06-26,3.52,3.62,3.63,3.45,134926.0
2024-06-27,3.61,3.55,3.64,3.55,115352.0
2024-06-28,3.54,3.58,3.64,3.53,116806.0
2024-07-01,3.58,3.6,3.63,3.53,121465.0
2024-07-02,3.62,3.62,3.65,3.59,127001.0
2024-07-03,3.61,3.56,3.62,3.54,109324.0
2024-07-04,3.55,3.44,3.58,3.43,141182.0
2024-07-05,3.44,3.51,3.54,3.37,129676.0
2024-07-08,3.49,3.37,3.49,3.36,135837.0
2024-07-09,3.35,3.42,3.43,3.28,149209.0
2024-07-10,3.38,3.55,3.62,3.36,341514.0
2024-07-11,3.57,3.66,3.66,3.56,298078.0
2024-07-12,3.76,3.69,3.83,3.6,387735.0
2024-07-15,3.7,3.57,3.75,3.54,266501.0
2024-07-16,3.53,3.56,3.59,3.51,145961.0
2024-07-17,3.54,3.43,3.55,3.43,177336.0
2024-07-18,3.41,3.44,3.47,3.36,133690.0
2024-07-19,3.42,3.45,3.48,3.42,101639.0
2024-07-22,3.45,3.49,3.51,3.44,102971.0
2024-07-23,3.47,3.4,3.51,3.39,103382.0
2024-07-24,3.38,3.37,3.45,3.35,114883.0
2024-07-25,3.37,3.37,3.41,3.3,111108.0
2024-07-26,3.36,3.5,3.5,3.36,199803.0
2024-07-29,3.51,3.58,3.6,3.5,193538.0
2024-07-30,3.57,3.65,3.66,3.53,202450.0
2024-07-31,3.64,3.73,3.75,3.61,304750.0
2024-08-01,3.72,3.82,3.85,3.7,437311.0
2024-08-02,3.8,3.86,3.97,3.76,579955.0
2024-08-05,3.78,3.7,3.94,3.7,504411.0
2024-08-06,3.78,3.83,3.9,3.71,488196.0
2024-08-07,3.83,3.85,3.91,3.79,391263.0
2024-08-08,3.81,3.72,3.83,3.68,344616.0
2024-08-09,3.72,3.65,3.74,3.63,211796.0
2024-08-12,3.6,3.53,3.62,3.51,200943.0
2024-08-13,3.53,3.57,3.57,3.51,131536.0
2024-08-14,3.56,3.67,3.75,3.54,244231.0
2024-08-15,3.65,3.68,3.69,3.57,215500.0
2024-08-16,3.67,3.58,3.68,3.58,184790.0
2024-08-19,3.6,3.6,3.64,3.57,141186.0
2024-08-20,3.6,3.52,3.6,3.51,142045.0
2024-08-21,3.5,3.49,3.55,3.48,106916.0
2024-08-22,3.5,3.46,3.55,3.45,109434.0
2024-08-23,3.47,3.44,3.5,3.42,88533.0
2024-08-26,3.45,3.51,3.52,3.4,103351.0
2024-08-27,3.51,3.4,3.51,3.38,119635.0
2024-08-28,3.4,3.41,3.45,3.37,66462.0
2024-08-29,3.41,3.45,3.46,3.38,80500.0
2024-08-30,3.45,3.53,3.56,3.44,145642.0
2024-09-02,3.52,3.48,3.62,3.47,162342.0
2024-09-03,3.48,3.53,3.53,3.45,116222.0
2024-09-04,3.5,3.47,3.54,3.46,84655.0
2024-09-05,3.48,3.55,3.55,3.48,104667.0
2024-09-06,3.55,3.47,3.56,3.45,95335.0
2024-09-09,3.47,3.46,3.48,3.42,84089.0
2024-09-10,3.47,3.48,3.49,3.4,83025.0
2024-09-11,3.45,3.42,3.47,3.4,85862.0
2024-09-12,3.44,3.45,3.49,3.42,105343.0
2024-09-13,3.46,3.39,3.47,3.39,91472.0
2024-09-18,3.4,3.36,3.43,3.31,96252.0
2024-09-19,3.39,3.47,3.48,3.36,143594.0
2024-09-20,3.48,3.49,3.52,3.45,128457.0
2024-09-23,3.48,3.54,3.56,3.46,154201.0
2024-09-24,3.54,3.62,3.62,3.52,211660.0
2024-09-25,3.64,3.65,3.72,3.63,287108.0
2024-09-26,3.66,3.73,3.73,3.64,229071.0
2024-09-27,3.78,3.9,3.97,3.76,447367.0
2024-09-30,4.03,4.28,4.28,4.0,781984.0
2024-10-08,4.71,4.7,4.71,4.39,1029824.0
2024-10-09,4.65,4.29,4.65,4.27,711943.0
2024-10-10,4.3,4.35,4.47,4.23,464023.0
2024-10-11,4.3,4.12,4.32,4.06,359448.0
2024-10-14,4.17,4.35,4.35,4.15,471649.0
