date,open,close,high,low,amount
2024-06-03,17.49,17.0,17.49,16.81,22625.0
2024-06-04,16.79,16.71,16.91,16.47,25375.0
2024-06-05,16.66,16.16,16.68,16.16,21598.0
2024-06-06,16.26,15.38,16.45,15.2,45297.0
2024-06-07,15.57,15.82,16.13,15.45,31903.0
2024-06-11,15.7,16.24,16.27,15.42,30117.0
2024-06-12,16.29,16.25,16.35,16.1,18750.0
2024-06-13,16.25,16.16,16.38,16.13,19774.0
2024-06-14,16.16,16.17,16.26,15.86,18314.0
2024-06-17,15.94,15.91,16.2,15.87,18118.0
2024-06-18,15.9,16.13,16.18,15.82,14119.0
2024-06-19,16.13,16.02,16.31,15.96,16430.0
2024-06-20,16.06,15.54,16.12,15.53,21949.0
2024-06-21,15.61,15.39,15.7,15.25,24950.0
2024-06-24,15.33,14.68,15.6,14.61,25700.0
2024-06-25,14.92,14.82,15.03,14.65,19963.0
2024-06-26,14.8,15.48,15.5,14.7,20915.0
2024-06-27,15.54,15.02,15.58,14.98,17920.0
2024-06-28,15.08,14.95,15.3,14.87,20604.0
2024-07-01,14.95,15.26,15.33,14.84,20478.0
2024-07-02,15.31,15.24,15.39,15.16,16384.0
2024-07-03,15.29,15.22,15.34,15.15,15211.0
2024-07-04,15.18,14.79,15.34,14.73,20473.0
2024-07-05,14.71,15.05,15.07,14.51,18000.0
2024-07-08,15.05,14.57,15.09,14.46,18425.0
2024-07-09,14.58,14.8,14.85,14.18,23867.0
2024-07-10,15.48,15.04,15.52,14.91,49299.0
2024-07-11,15.3,15.59,15.65,15.27,46337.0
2024-07-12,15.72,15.59,15.72,15.48,26672.0
2024-07-15,15.58,15.3,15.61,15.25,23563.0
2024-07-16,15.33,14.98,15.37,14.78,25130.0
2024-07-17,15.05,14.49,15.05,14.47,27049.0
2024-07-18,14.47,14.33,14.47,14.0,21607.0
2024-07-19,14.42,14.12,14.42,13.99,30362.0
2024-07-22,14.09,14.21,14.38,13.95,38208.0
2024-07-23,14.2,13.82,14.55,13.8,38534.0
2024-07-24,13.76,14.0,14.47,13.51,44010.0
2024-07-25,13.78,13.99,14.28,13.33,47015.0
2024-07-26,13.99,14.26,14.28,13.91,26023.0
2024-07-29,14.33,14.14,14.34,14.1,17153.0
2024-07-30,14.13,14.16,14.2,13.85,17536.0
2024-07-31,14.2,14.8,14.95,14.08,45090.0
2024-08-01,14.86,14.7,14.98,14.64,19624.0
2024-08-02,14.65,14.42,14.69,14.3,20346.0
2024-08-05,14.36,13.93,14.58,13.87,26172.0
2024-08-06,14.02,14.25,14.27,14.0,16390.0
2024-08-07,14.33,14.31,14.35,14.18,12617.0
2024-08-08,14.19,14.17,14.3,13.93,15894.0
2024-08-09,14.17,14.06,14.32,14.06,11649.0
2024-08-12,14.1,13.94,14.13,13.85,11655.0
2024-08-13,13.84,14.02,14.03,13.78,8913.0
2024-08-14,14.12,13.8,14.12,13.8,10489.0
2024-08-15,13.8,13.91,14.03,13.56,15394.0
2024-08-16,13.91,13.95,14.06,13.83,9006.0
2024-08-19,14.04,14.07,14.23,13.95,19593.0
2024-08-20,14.07,13.41,14.12,13.19,44233.0
2024-08-21,13.47,13.65,13.78,13.43,23150.0
2024-08-22,13.66,13.33,13.73,13.32,13950.0
2024-08-23,13.37,13.31,13.41,13.12,10852.0
2024-08-26,13.28,13.6,13.7,13.16,16146.0
2024-08-27,13.55,13.37,13.64,13.35,10170.0
2024-08-28,13.26,13.42,13.56,13.26,10109.0
2024-08-29,13.35,13.77,13.84,13.23,16656.0
2024-08-30,13.77,14.04,14.24,13.7,21128.0
2024-09-02,14.05,13.65,14.15,13.64,15610.0
2024-09-03,13.71,13.71,13.9,13.58,11601.0
2024-09-04,13.71,13.56,13.72,13.51,13731.0
2024-09-05,13.53,13.63,13.7,13.53,9050.0
2024-09-06,13.71,13.33,13.72,13.33,16476.0
2024-09-09,13.45,13.3,13.45,13.2,14240.0
2024-09-10,13.48,13.2,13.48,13.0,17420.0
2024-09-11,13.12,13.2,13.27,13.09,9180.0
2024-09-12,13.2,13.02,13.35,13.01,10437.0
2024-09-13,13.02,12.73,13.15,12.7,15060.0
2024-09-18,12.7,12.63,12.9,12.34,13781.0
2024-09-19,12.85,13.08,13.17,12.71,21749.0
2024-09-20,13.08,13.15,13.26,12.95,16152.0
2024-09-23,13.22,13.22,13.33,13.07,10583.0
2024-09-24,13.34,13.77,13.77,13.29,22909.0
2024-09-25,13.88,13.88,14.2,13.85,29329.0
2024-09-26,13.85,14.26,14.27,13.8,26913.0
2024-09-27,14.43,14.94,15.1,14.35,47323.0
2024-09-30,15.34,16.21,16.34,15.08,85187.0
2024-10-08,17.84,16.89,17.84,16.21,94179.0
2024-10-09,16.53,15.56,16.53,15.56,63440.0
2024-10-10,15.71,15.59,15.98,15.39,40527.0
2024-10-11,15.53,15.0,15.57,14.84,31711.0
2024-10-14,15.02,15.33,15.48,14.97,29707.0
2024-10-15,15.32,15.01,15.45,14.97,27536.0
2024-10-16,14.84,15.04,15.28,14.81,18400.0
2024-10-17,15.22,16.56,16.56,15.06,79924.0
2024-10-18,16.78,17.09,17.13,16.16,183544.0
2024-10-21,16.99,17.32,18.0,16.78,153718.0
2024-10-22,17.49,17.74,18.23,17.44,125796.0
2024-10-23,17.62,18.26,18.71,17.62,112141.0
2024-10-24,18.29,18.95,19.24,18.02,112897.0
2024-10-25,18.84,18.5,19.04,18.17,105115.0
2024-10-28,18.32,19.93,20.34,18.2,140377.0
2024-10-29,19.69,19.63,20.21,19.34,88863.0
2024-10-30,19.45,20.14,20.29,19.45,77238.0
2024-10-31,20.11,19.99,20.72,19.86,72011.0
2024-11-01,19.92,18.74,19.92,18.64,100274.0
2024-11-04,18.72,19.84,19.98,18.52,81106.0
2024-11-05,19.84,20.73,20.82,19.8,80902.0
2024-11-06,20.92,20.56,21.28,20.2,98574.0
2024-11-07,20.57,22.63,22.63,20.34,81134.0
2024-11-08,23.82,22.54,23.82,22.25,161677.0
2024-11-11,22.54,21.81,23.65,21.42,159169.0
2024-11-12,21.12,20.69,21.6,20.03,141866.0
2024-11-13,20.69,20.76,21.02,20.04,71637.0
2024-11-14,20.33,20.84,21.75,20.33,101166.0
2024-11-15,20.85,20.06,21.4,20.04,68025.0
2024-11-18,20.14,19.19,20.18,18.84,82251.0
2024-11-19,19.1,19.49,19.66,18.91,43505.0
2024-11-20,19.59,19.64,19.9,19.4,47420.0
