date,open,high,low,close,volume,amount
2024-06-03,42.65,43.08,40.84,41.31,63413.32,270907.8
2024-06-04,41.24,42.66,41.03,41.54,57399.87,245237.343
2024-06-05,41.52,41.8,40.08,40.13,46014.53,192437.383
2024-06-06,40.4,41.91,39.83,39.84,68903.12,289087.003
2024-06-07,39.58,40.24,38.74,39.14,48685.0,196534.297
2024-06-11,38.84,39.87,37.66,39.85,38149.05,152067.245
2024-06-12,40.42,41.47,40.04,40.45,47286.69,197065.386
2024-06-13,40.44,41.11,40.08,40.2,41662.8,173637.589
2024-06-14,40.16,40.52,39.28,40.5,33551.74,137793.172
2024-06-17,40.64,41.36,39.96,41.04,48477.34,203474.355
2024-06-18,41.31,41.91,41.05,41.57,52213.84,221959.935
2024-06-19,41.73,41.77,40.66,40.84,37023.4,156009.207
2024-06-20,40.54,40.9,39.49,39.52,34387.99,141546.967
2024-06-21,39.47,39.77,38.73,39.53,25304.58,101984.659
2024-06-24,38.98,39.28,36.79,36.79,41072.18,159969.194
2024-06-25,37.44,37.49,36.01,36.46,25919.07,97706.665
2024-06-26,36.47,37.86,35.98,37.73,28735.42,109318.069
2024-06-27,37.54,38.37,37.0,37.02,28519.83,110361.297
2024-06-28,36.95,38.66,36.43,38.01,40358.98,157437.869
2024-07-01,38.18,38.37,36.72,37.6,29792.07,113977.415
2024-07-02,37.6,37.65,36.21,36.53,32301.04,121929.618
2024-07-03,36.23,36.56,35.16,35.6,27846.07,101842.01
2024-07-04,35.45,35.89,34.32,34.53,26901.26,96674.463
2024-07-05,34.53,34.93,33.64,34.85,22232.88,78068.736
2024-07-08,34.85,34.89,33.44,33.57,23564.55,82183.223
2024-07-09,33.66,35.43,33.5,35.32,40453.8,143250.42
2024-07-10,34.99,35.64,34.81,35.26,26285.0,95260.307
2024-07-11,36.08,36.42,35.6,36.4,33428.8,124011.906
2024-07-12,36.08,36.12,35.49,35.53,21495.46,78734.768
2024-07-15,35.35,35.73,34.91,35.25,16868.87,61069.732
2024-07-16,34.96,36.05,34.91,35.8,18143.69,66181.054
2024-07-17,35.85,35.85,34.38,34.38,25050.0,89582.874
2024-07-18,34.11,34.22,33.08,34.08,22591.8,78007.29
2024-07-19,33.66,36.67,33.65,35.44,39225.61,142967.511
2024-07-22,35.54,36.44,35.28,36.27,35444.71,130519.026
2024-07-23,35.85,36.28,34.42,34.46,27371.51,98682.624
2024-07-24,34.14,34.99,33.52,33.54,20678.81,72269.556
2024-07-25,33.16,33.82,32.84,33.2,19562.94,66632.059
2024-07-26,33.16,33.85,33.03,33.62,17283.8,59410.428
2024-07-29,33.8,33.91,33.14,33.37,14202.2,48667.206
2024-07-30,33.49,34.65,33.3,34.03,29886.9,104453.639
2024-07-31,33.83,37.38,33.7,36.46,59575.37,218910.603
2024-08-01,38.04,39.22,37.39,38.04,97366.83,383457.221
2024-08-02,37.54,37.83,35.7,35.79,52163.68,195540.505
2024-08-05,35.23,36.07,33.97,33.97,35892.29,128153.106
2024-08-06,35.09,35.18,33.93,34.38,25337.0,89420.478
2024-08-07,34.47,34.66,34.05,34.1,23847.0,83808.369
2024-08-08,33.62,34.32,33.2,33.94,22701.8,78528.441
2024-08-09,34.12,34.59,33.67,33.74,19307.44,67443.065
2024-08-12,33.39,33.79,32.85,33.01,18877.8,64394.94
2024-08-13,33.01,34.77,32.57,34.04,45984.75,159840.265
2024-08-14,34.69,37.45,34.24,37.45,104745.73,388244.408
2024-08-15,38.03,39.98,36.81,37.06,169152.22,664542.488
2024-08-16,37.92,39.01,37.07,37.3,119536.46,466706.826
2024-08-19,36.95,37.73,35.98,36.2,91148.28,342782.564
2024-08-20,36.44,36.76,35.75,36.28,56626.56,210821.679
2024-08-21,36.2,36.84,35.52,35.87,57605.7,214174.374
2024-08-22,35.86,36.47,34.44,35.25,62499.36,227814.841
2024-08-23,34.62,35.35,33.8,34.82,48849.26,173039.027
2024-08-26,34.59,37.23,34.59,36.36,73714.73,271697.604
2024-08-27,35.91,36.05,34.43,34.5,47579.6,170815.682
2024-08-28,34.13,34.9,33.72,34.55,34602.96,122038.41
2024-08-29,34.87,36.57,34.68,36.24,64971.99,238768.392
2024-08-30,36.42,38.08,36.42,36.97,98069.67,376426.352
2024-09-02,37.04,37.69,36.63,36.96,74391.02,284291.919
