date,open,close,high,low,amount
2024-06-03,2.75,2.67,2.75,2.66,80119.0
2024-06-04,2.69,2.59,2.69,2.56,107902.0
2024-06-05,2.56,2.52,2.58,2.52,76274.0
2024-06-06,2.53,2.37,2.55,2.33,149770.0
2024-06-07,2.4,2.48,2.49,2.4,84017.0
2024-06-11,2.49,2.48,2.5,2.4,83079.0
2024-06-12,2.46,2.52,2.53,2.45,68176.0
2024-06-13,2.52,2.47,2.53,2.46,59849.0
2024-06-14,2.49,2.48,2.51,2.44,60542.0
2024-06-17,2.49,2.46,2.51,2.45,61292.0
2024-06-18,2.47,2.52,2.54,2.44,88257.0
2024-06-19,2.53,2.54,2.56,2.51,63493.0
2024-06-20,2.55,2.45,2.55,2.44,66564.0
2024-06-21,2.45,2.43,2.48,2.39,55191.0
2024-06-24,2.4,2.31,2.42,2.29,89955.0
2024-06-25,2.31,2.3,2.34,2.28,72124.0
2024-06-26,2.29,2.43,2.44,2.28,79962.0
2024-06-27,2.43,2.38,2.46,2.37,70436.0
2024-06-28,2.38,2.36,2.42,2.35,73069.0
2024-07-01,2.35,2.37,2.41,2.31,83487.0
2024-07-02,2.38,2.53,2.65,2.36,293028.0
2024-07-03,2.49,2.45,2.53,2.43,226142.0
2024-07-04,2.42,2.35,2.46,2.34,117289.0
2024-07-05,2.36,2.41,2.43,2.31,113021.0
2024-07-08,2.34,2.33,2.38,2.32,99607.0
2024-07-09,2.32,2.33,2.36,2.25,110386.0
2024-07-10,2.33,2.26,2.33,2.25,80446.0
2024-07-11,2.32,2.36,2.37,2.29,101835.0
2024-07-12,2.36,2.34,2.39,2.32,73360.0
2024-07-15,2.33,2.29,2.33,2.28,60984.0
2024-07-16,2.27,2.27,2.31,2.25,46205.0
2024-07-17,2.27,2.24,2.28,2.23,49130.0
2024-07-18,2.23,2.21,2.23,2.16,69058.0
2024-07-19,2.19,2.23,2.25,2.18,45963.0
2024-07-22,2.22,2.28,2.28,2.21,49284.0
2024-07-23,2.31,2.25,2.4,2.25,75746.0
2024-07-24,2.24,2.2,2.25,2.19,64467.0
2024-07-25,2.21,2.22,2.24,2.17,48219.0
2024-07-26,2.22,2.29,2.29,2.22,72869.0
2024-07-29,2.3,2.29,2.31,2.27,34424.0
2024-07-30,2.29,2.32,2.33,2.26,55339.0
2024-07-31,2.36,2.38,2.4,2.3,94499.0
2024-08-01,2.38,2.4,2.41,2.36,78581.0
2024-08-02,2.38,2.36,2.4,2.35,62876.0
2024-08-05,2.35,2.31,2.39,2.31,68737.0
2024-08-06,2.33,2.36,2.37,2.32,64609.0
2024-08-07,2.37,2.36,2.38,2.35,50319.0
2024-08-08,2.37,2.35,2.37,2.32,54951.0
2024-08-09,2.36,2.45,2.61,2.32,177345.0
2024-08-12,2.4,2.35,2.41,2.33,195499.0
2024-08-13,2.34,2.37,2.41,2.3,137961.0
2024-08-14,2.39,2.44,2.51,2.37,204059.0
2024-08-15,2.41,2.5,2.51,2.4,205312.0
2024-08-16,2.5,2.54,2.6,2.48,242508.0
2024-08-19,2.52,2.59,2.69,2.47,271571.0
2024-08-20,2.53,2.49,2.55,2.46,205888.0
2024-08-21,2.46,2.45,2.5,2.42,108702.0
2024-08-22,2.43,2.38,2.48,2.36,96997.0
2024-08-23,2.38,2.36,2.39,2.32,85602.0
2024-08-26,2.36,2.35,2.39,2.32,79535.0
2024-08-27,2.35,2.3,2.39,2.29,88252.0
2024-08-28,2.31,2.32,2.36,2.27,61526.0
2024-08-29,2.32,2.37,2.38,2.31,73081.0
2024-08-30,2.36,2.44,2.48,2.36,113688.0
2024-09-02,2.45,2.4,2.46,2.39,68311.0
2024-09-03,2.42,2.44,2.45,2.4,70173.0
2024-09-04,2.43,2.39,2.44,2.38,64543.0
2024-09-05,2.41,2.41,2.44,2.39,53327.0
2024-09-06,2.41,2.35,2.42,2.33,70275.0
2024-09-09,2.35,2.32,2.36,2.3,46174.0
2024-09-10,2.32,2.36,2.37,2.28,71067.0
2024-09-11,2.33,2.33,2.36,2.31,45247.0
2024-09-12,2.33,2.34,2.37,2.33,52684.0
2024-09-13,2.34,2.31,2.35,2.3,47918.0
2024-09-18,2.32,2.27,2.32,2.23,52122.0
2024-09-19,2.29,2.35,2.36,2.26,60878.0
2024-09-20,2.36,2.33,2.36,2.31,49533.0
2024-09-23,2.33,2.31,2.34,2.3,38164.0
2024-09-24,2.33,2.41,2.41,2.32,102450.0
2024-09-25,2.44,2.46,2.55,2.41,176729.0
2024-09-26,2.45,2.53,2.53,2.44,116736.0
2024-09-27,2.58,2.66,2.7,2.56,212243.0
2024-09-30,2.79,3.14,3.17,2.69,555387.0
2024-10-08,3.77,3.61,3.77,3.26,736728.0
