date,open,high,low,close,volume,amount
2024-06-03,49.84,53.51,49.34,52.71,87555.07,454280.838
2024-06-04,51.29,52.33,47.45,48.21,82914.77,409760.183
2024-06-05,47.47,50.72,47.47,48.23,59948.87,296603.135
2024-06-06,49.84,52.33,48.27,49.84,83073.25,418232.604
2024-06-07,48.62,52.83,47.63,50.94,83928.45,427477.899
2024-06-11,50.94,54.39,49.64,53.78,96552.7,510037.109
2024-06-12,52.63,53.33,51.51,53.21,69560.6,367098.165
2024-06-13,52.83,53.95,50.82,50.82,72335.36,378291.693
2024-06-14,49.84,50.09,48.35,49.71,45533.98,225299.136
2024-06-17,49.74,51.8,49.14,51.42,48315.46,247168.767
2024-06-18,50.84,51.09,49.64,50.0,42212.43,212681.614
2024-06-19,49.7,51.49,49.59,51.37,49666.71,252889.342
2024-06-20,50.64,51.32,48.74,48.75,40909.54,206458.372
2024-06-21,47.78,48.14,45.2,45.98,47321.95,220761.381
2024-06-24,44.86,46.43,43.37,43.76,34904.08,156907.385
2024-06-25,44.66,44.77,41.67,42.2,30060.61,129174.451
2024-06-26,42.16,44.18,41.16,43.84,31964.62,138354.201
2024-06-27,43.83,44.5,42.04,42.25,31077.89,135344.758
2024-06-28,42.28,43.85,42.28,43.08,26374.76,114424.11
2024-07-01,42.86,43.15,40.66,42.34,29400.67,123488.128
2024-07-02,42.24,42.68,41.24,41.5,20580.66,86557.182
2024-07-03,41.4,42.16,40.26,41.17,23580.89,97280.029
2024-07-04,41.14,41.53,39.27,39.46,28794.32,115857.081
2024-07-05,39.63,39.77,38.27,39.33,22146.92,86764.792
2024-07-08,39.38,40.43,38.77,38.87,24320.32,96606.958
2024-07-09,39.22,40.79,38.65,40.77,35184.66,141654.025
2024-07-10,40.78,41.94,40.46,40.96,34228.48,141666.118
2024-07-11,41.86,42.14,41.05,41.69,32853.37,137333.665
2024-07-12,41.16,42.64,41.05,42.34,33190.29,139801.086
2024-07-15,42.75,43.01,41.38,41.55,25906.86,109582.089
2024-07-16,41.11,42.23,40.69,42.03,27625.71,115090.544
2024-07-17,42.06,42.93,40.66,41.13,34019.76,142283.32
2024-07-18,41.91,44.85,41.91,43.93,73344.08,319012.271
2024-07-19,44.05,47.62,44.05,45.7,86620.22,401173.18
2024-07-22,44.26,46.35,43.95,44.86,55030.33,247922.093
2024-07-23,44.35,45.08,42.76,42.86,44089.44,193943.068
2024-07-24,42.45,43.22,39.95,40.29,45471.32,188734.652
2024-07-25,39.99,40.64,39.45,39.69,25223.8,100942.83
2024-07-26,39.87,40.5,38.87,40.35,25380.54,101748.578
2024-07-29,40.37,40.97,40.08,40.84,22870.31,93110.254
2024-07-30,40.86,42.1,39.77,42.09,32812.46,135338.522
2024-07-31,41.66,43.87,41.44,43.6,41834.28,180218.877
2024-08-01,43.85,45.41,43.17,44.0,53322.11,236091.065
2024-08-02,43.84,45.31,43.15,43.25,45848.1,202893.284
2024-08-05,42.3,42.6,39.47,39.67,42123.11,173683.474
2024-08-06,40.36,40.71,39.34,40.14,23791.52,94985.227
2024-08-07,39.9,40.54,39.67,39.94,16522.31,66568.612
2024-08-08,39.94,40.46,38.77,39.34,21637.78,85880.666
2024-08-09,39.79,40.25,38.88,38.99,16011.0,63687.523
2024-08-12,38.94,38.94,36.41,36.64,30202.51,113238.076
2024-08-13,36.44,37.14,36.28,37.0,18127.35,66774.918
2024-08-14,37.02,39.16,36.83,38.42,34136.56,130360.518
2024-08-15,38.86,42.98,38.75,40.72,65687.16,268580.253
2024-08-16,40.33,42.21,40.25,41.13,53747.29,221343.231
2024-08-19,39.8,39.81,37.26,37.29,50118.02,193390.004
