date,open,high,low,close,volume,amount
2024-06-03,9.7,9.75,9.46,9.52,11424.65,10918.545
2024-06-04,9.42,9.63,9.22,9.39,8972.0,8373.683
2024-06-05,9.13,10.13,9.12,9.61,28585.8,27755.087
2024-06-06,9.5,9.56,9.23,9.25,17785.0,16631.508
2024-06-07,9.39,9.54,9.3,9.38,12270.0,11542.892
2024-06-11,9.8,9.8,9.36,9.48,13543.2,12887.96
2024-06-12,9.41,9.55,9.37,9.51,8879.0,8401.448
2024-06-13,9.51,9.57,9.45,9.49,6103.01,5789.853
2024-06-14,9.45,9.52,9.41,9.42,7210.8,6814.644
2024-06-17,9.42,9.45,9.32,9.37,5409.0,5079.828
2024-06-18,9.31,9.44,9.21,9.35,9991.01,9284.179
2024-06-19,9.34,9.34,9.23,9.24,6611.8,6127.428
2024-06-20,9.24,9.28,8.94,9.15,14878.0,13489.912
2024-06-21,9.1,9.15,9.01,9.02,5513.0,4989.073
2024-06-24,8.99,9.02,8.68,8.72,10567.4,9292.27
2024-06-25,8.66,8.95,8.66,8.84,8501.8,7525.8
2024-06-26,8.79,9.05,8.78,9.02,7573.0,6772.877
2024-06-27,9.01,9.05,8.92,8.94,5518.0,4945.938
2024-06-28,8.9,9.06,8.88,8.96,4726.0,4254.328
2024-07-01,8.89,9.06,8.81,8.95,5280.0,4706.336
2024-07-02,8.88,9.07,8.86,9.05,7220.0,6510.683
2024-07-03,9.05,9.45,8.97,9.14,21510.07,19924.796
2024-07-04,9.05,9.09,8.9,8.91,9622.8,8634.91
2024-07-05,8.84,9.18,8.84,8.99,9963.4,8967.098
2024-07-08,8.96,8.99,8.78,8.85,7180.76,6357.136
2024-07-09,8.85,9.28,8.72,9.08,12450.56,11180.541
2024-07-10,8.91,9.15,8.91,9.02,7471.0,6728.05
2024-07-11,9.03,9.18,9.03,9.11,12650.25,11531.644
2024-07-12,9.18,9.18,9.05,9.1,7135.4,6506.803
2024-07-15,9.16,9.16,8.98,9.04,4425.4,3988.778
2024-07-16,9.02,9.02,8.87,8.97,6362.47,5686.74
2024-07-17,8.96,9.04,8.88,9.0,4689.0,4208.184
2024-07-18,9.01,9.08,8.86,8.93,9174.2,8216.708
2024-07-19,9.0,9.0,8.81,8.87,7490.0,6649.134
2024-07-22,8.84,8.9,8.75,8.79,8623.0,7599.04
2024-07-23,8.8,8.85,8.68,8.69,7960.0,6965.005
2024-07-24,8.64,8.68,8.37,8.38,9250.0,7847.397
2024-07-25,8.36,9.1,8.26,8.94,25820.6,22615.784
2024-07-26,8.87,8.93,8.75,8.78,13901.6,12255.876
2024-07-29,8.71,8.86,8.71,8.81,6541.0,5753.414
2024-07-30,8.75,8.86,8.74,8.82,5310.24,4676.225
2024-07-31,8.84,9.0,8.76,8.98,11700.8,10425.848
2024-08-01,8.95,9.08,8.9,9.03,10925.8,9842.684
2024-08-02,8.96,9.5,8.96,9.11,22224.2,20380.256
2024-08-05,9.2,9.8,9.14,9.19,40028.4,37695.524
