date,open,close,high,low,amount
2024-06-03,22.63,21.94,22.63,21.84,7113.0
2024-06-04,21.86,21.81,21.86,21.21,5122.0
2024-06-05,22.44,24.17,26.26,22.21,28455.0
2024-06-06,23.32,21.62,24.14,21.62,22143.0
2024-06-07,22.34,21.28,22.34,21.19,9135.0
2024-06-11,21.12,21.33,21.55,20.43,9106.0
2024-06-12,21.41,21.48,21.56,21.08,6582.0
2024-06-13,21.48,21.33,21.66,21.12,5435.0
2024-06-14,21.26,21.02,21.45,20.76,7200.0
2024-06-17,20.89,21.43,21.53,20.77,6294.0
2024-06-18,21.3,21.96,22.11,21.12,9243.0
2024-06-19,21.83,21.73,22.05,21.55,5092.0
2024-06-20,21.61,21.08,21.91,21.08,4028.0
2024-06-21,21.07,20.56,21.15,20.56,5191.0
2024-06-24,20.55,19.26,20.74,19.12,10009.0
2024-06-25,19.2,19.18,19.43,18.76,5907.0
2024-06-26,19.15,20.09,20.13,18.93,8349.0
2024-06-27,19.99,19.55,20.26,19.54,5962.0
2024-06-28,19.44,19.57,20.09,19.41,5777.0
2024-07-01,19.57,19.94,20.12,19.26,5985.0
2024-07-02,19.98,20.09,20.26,19.76,4907.0
2024-07-03,20.02,20.01,20.61,19.84,4487.0
2024-07-04,20.39,19.69,20.47,19.49,4209.0
2024-07-05,19.72,20.04,20.19,19.19,2972.0
2024-07-08,19.87,19.31,19.87,19.03,5972.0
2024-07-09,19.13,19.64,19.79,18.83,4573.0
2024-07-10,19.48,19.51,20.07,19.48,3300.0
2024-07-11,19.83,20.01,20.22,19.71,5933.0
2024-07-12,20.02,19.71,20.26,19.71,3969.0
2024-07-15,19.48,18.81,19.61,18.68,8146.0
2024-07-16,18.76,18.81,19.07,18.68,3431.0
2024-07-17,18.68,18.35,19.03,18.21,6476.0
2024-07-18,18.17,18.84,19.01,17.69,7980.0
2024-07-19,18.38,18.88,19.09,18.38,4869.0
2024-07-22,18.96,18.51,19.12,18.38,7287.0
2024-07-23,18.36,17.8,18.6,17.79,7493.0
2024-07-24,17.82,17.33,17.82,17.27,7917.0
2024-07-25,17.28,17.61,18.03,17.15,7292.0
2024-07-26,17.54,17.75,18.07,17.54,6246.0
2024-07-29,17.75,17.65,17.75,17.22,5327.0
2024-07-30,17.65,17.49,17.7,17.42,4811.0
2024-07-31,17.48,18.37,18.37,17.34,9288.0
2024-08-01,18.42,18.06,18.46,18.03,7941.0
2024-08-02,18.02,17.72,18.2,17.71,4941.0
2024-08-05,17.69,17.04,18.03,17.04,7090.0
2024-08-06,17.18,17.47,17.55,17.17,5458.0
2024-08-07,17.44,17.29,17.51,17.21,4811.0
2024-08-08,17.28,17.27,17.37,16.92,4186.0
2024-08-09,17.42,17.07,17.66,17.07,3563.0
2024-08-12,17.06,17.06,17.17,16.82,3682.0
2024-08-13,17.3,17.2,17.41,16.8,5141.0
2024-08-14,17.17,16.84,17.32,16.8,4636.0
2024-08-15,16.79,16.72,16.97,16.54,5487.0
2024-08-16,16.74,16.37,16.82,16.34,6024.0
2024-08-19,16.37,16.29,16.64,16.24,5446.0
2024-08-20,16.31,15.81,16.46,15.73,6434.0
2024-08-21,15.81,15.91,16.31,15.48,19374.0
2024-08-22,16.04,15.71,16.41,15.61,14535.0
2024-08-23,15.67,15.23,15.67,15.16,9768.0
2024-08-26,15.21,15.71,16.24,15.05,13615.0
2024-08-27,15.75,15.32,15.78,15.28,7400.0
2024-08-28,16.09,15.96,16.09,15.42,17034.0
2024-08-29,15.86,16.16,16.4,15.68,13694.0
2024-08-30,16.18,16.31,16.54,16.04,15996.0
2024-09-02,16.21,16.08,16.47,16.04,11871.0
2024-09-03,15.96,16.48,16.66,15.89,12947.0
2024-09-04,16.34,16.74,17.38,16.34,20025.0
2024-09-05,16.81,16.51,17.05,16.36,16407.0
2024-09-06,16.49,15.97,16.62,15.95,12155.0
2024-09-09,15.84,16.07,16.33,15.76,10387.0
2024-09-10,15.99,16.13,16.23,15.85,9116.0
2024-09-11,16.14,17.45,19.01,16.02,45880.0
2024-09-12,17.45,16.94,17.45,16.82,34517.0
2024-09-13,17.02,16.14,17.03,16.14,24401.0
2024-09-18,16.13,16.6,17.38,16.06,30028.0
2024-09-19,16.48,16.5,16.61,15.89,29147.0
2024-09-20,16.37,15.94,16.64,15.81,19663.0
2024-09-23,15.84,15.86,16.24,15.82,14268.0
