date,open,high,low,close,volume,amount
2024-06-03,28.97,29.7,28.62,29.4,177814.58,524120.215
2024-06-04,29.21,29.47,28.74,29.46,132601.07,388665.785
2024-06-05,29.22,29.64,29.01,29.06,120919.84,357602.594
2024-06-06,29.2,29.75,28.91,29.53,194774.05,577078.032
2024-06-07,29.51,29.58,27.52,28.22,298071.86,846077.895
2024-06-11,27.82,28.36,27.72,28.21,147457.49,415156.42
2024-06-12,28.06,28.78,28.0,28.22,137881.85,394089.844
2024-06-13,28.32,28.95,28.28,28.35,175761.54,506143.306
2024-06-14,28.12,28.3,26.98,27.23,380970.95,1043973.18
2024-06-17,27.14,27.14,24.5,24.5,489920.45,1229521.383
2024-06-18,24.1,24.38,23.28,24.05,574315.65,1383460.063
2024-06-19,24.05,24.22,23.63,23.66,284313.6,682172.085
2024-06-20,23.51,23.61,22.65,22.85,300069.26,694985.32
2024-06-21,22.74,23.07,22.56,22.89,170384.97,392391.138
2024-06-24,22.67,23.32,22.34,22.42,231438.28,533181.318
2024-06-25,22.41,22.55,21.51,21.78,215715.93,475068.345
2024-06-26,21.79,22.79,21.69,22.72,234903.25,524749.184
2024-06-27,22.73,22.73,22.06,22.08,179091.65,402973.87
2024-06-28,22.61,23.23,22.5,22.75,307132.37,707902.632
2024-07-01,22.66,22.9,22.11,22.58,210509.02,475024.345
2024-07-02,22.58,22.95,22.51,22.66,203109.26,463512.502
2024-07-03,22.56,22.57,22.16,22.23,141622.44,317470.254
2024-07-04,22.22,22.36,21.57,21.64,140570.37,310145.063
2024-07-05,21.56,22.01,21.42,21.86,136086.63,297217.973
2024-07-08,21.98,22.0,21.19,21.29,138878.87,301040.114
2024-07-09,21.26,22.26,21.09,22.25,214685.4,470775.609
2024-07-10,22.13,22.69,22.02,22.29,175140.99,394641.374
2024-07-11,22.7,23.75,22.45,23.42,335580.06,785108.562
2024-07-12,23.1,23.16,22.76,22.88,180906.16,416902.625
2024-07-15,22.86,22.89,22.38,22.53,128604.48,292784.173
2024-07-16,22.52,23.74,22.33,23.6,341629.23,798229.889
2024-07-17,24.2,25.17,24.2,24.32,513874.26,1277910.867
2024-07-18,24.32,24.56,23.65,24.25,243494.98,588333.34
2024-07-19,24.15,24.49,24.03,24.1,193647.0,472233.685
2024-07-22,24.05,24.23,23.54,24.02,191718.13,460632.883
2024-07-23,23.95,23.98,23.17,23.23,133289.22,316831.245
2024-07-24,23.19,23.55,22.75,22.78,132223.2,307642.668
2024-07-25,22.54,22.91,22.33,22.64,119924.0,272658.694
2024-07-26,22.72,23.12,22.54,22.91,123157.16,282767.015
2024-07-29,22.92,23.14,22.44,22.78,112494.81,257957.135
2024-07-30,22.75,22.83,22.01,22.61,157138.38,354313.276
2024-07-31,22.53,23.59,22.51,23.45,207457.45,484992.162
2024-08-01,23.46,23.79,23.2,23.36,153240.56,361766.206
2024-08-02,23.03,23.25,22.59,22.67,153297.22,352929.577
2024-08-05,22.42,23.43,22.33,22.49,237850.12,545410.471
2024-08-06,22.77,23.02,22.45,22.81,143644.17,328120.464
2024-08-07,23.84,23.85,23.1,23.17,288483.07,680853.071
2024-08-08,22.85,22.93,22.22,22.74,197478.18,448139.037
2024-08-09,22.77,22.91,22.34,22.35,121015.56,274800.773
2024-08-12,22.18,22.32,21.95,22.13,74424.28,165531.246
2024-08-13,22.09,22.32,21.77,22.2,87364.0,193651.49
2024-08-14,22.21,22.33,21.96,22.06,72957.01,162341.509
2024-08-15,21.94,22.46,21.79,22.17,108392.39,242357.191
2024-08-16,22.25,22.92,22.19,22.67,186002.5,422997.786
2024-08-19,22.73,23.72,22.73,23.48,303499.28,713478.944
2024-08-20,23.35,23.35,22.65,22.77,193667.82,445153.837
2024-08-21,22.74,23.32,22.66,22.75,153163.6,354031.308
2024-08-22,23.08,23.77,22.92,23.23,320093.18,753269.363
2024-08-23,22.87,24.83,22.8,24.36,536262.33,1296212.89
2024-08-26,24.54,24.6,23.96,24.1,349582.78,851514.229
2024-08-27,23.77,24.15,23.05,23.18,273170.95,646075.578
2024-08-28,23.13,24.02,22.44,23.64,258356.64,607789.788
2024-08-29,23.35,23.93,23.28,23.64,239998.93,571166.03
2024-08-30,23.6,24.73,23.53,24.43,375433.84,922416.092
2024-09-02,24.61,24.89,23.88,23.92,286516.94,703166.643
2024-09-03,23.95,26.31,23.94,25.65,662845.63,1695682.43
2024-09-04,25.27,25.69,24.67,24.84,408677.09,1031369.647
2024-09-05,25.29,25.38,24.81,24.96,289658.28,730654.83
2024-09-06,24.86,24.96,24.32,24.42,210608.38,520311.743
2024-09-09,24.15,24.54,24.02,24.15,144840.78,353209.465
2024-09-10,24.16,25.23,23.77,25.08,316153.23,784368.851
2024-09-11,24.85,24.96,24.3,24.51,180688.85,446939.196
2024-09-12,24.64,24.78,24.2,24.22,147585.35,363240.883
2024-09-13,24.23,24.45,23.58,23.81,180577.61,435436.308
2024-09-18,23.65,24.03,23.04,23.5,165786.47,390052.954
2024-09-19,23.71,24.16,23.27,24.0,177412.72,425708.421
2024-09-20,23.98,24.69,23.88,24.52,235261.01,577637.813
2024-09-23,24.59,25.02,24.2,24.27,230057.96,568900.219
2024-09-24,24.26,25.03,23.85,25.02,323902.68,801340.271
2024-09-25,25.18,25.8,24.86,24.87,333907.86,851126.333
2024-09-26,24.91,25.81,24.77,25.81,280643.24,715735.951
2024-09-27,26.23,28.3,26.01,27.8,451931.21,1235810.815
2024-09-30,29.19,30.59,28.82,30.59,559784.81,1683567.7
2024-10-08,33.65,33.65,31.0,33.65,603797.27,2013258.518
2024-10-09,33.49,34.78,31.81,32.79,685579.73,2318305.37
2024-10-10,33.19,33.6,30.81,30.85,480708.17,1538963.443
2024-10-11,30.51,31.07,28.85,29.37,344139.86,1027147.245
2024-10-14,29.6,30.73,29.06,30.73,327385.75,987858.753
2024-10-15,30.41,32.17,29.88,30.91,444140.06,1390133.829
2024-10-16,29.97,31.16,29.85,30.57,229915.14,705185.969
2024-10-17,31.18,31.9,30.78,30.89,346940.6,1096413.65
2024-10-18,30.69,33.15,30.53,32.43,461010.61,1484564.026
2024-10-21,32.81,34.14,32.43,33.47,475325.54,1601028.001
2024-10-22,33.93,34.07,32.36,32.76,416173.17,1390549.167
2024-10-23,32.77,33.05,32.0,32.19,305275.73,1001309.472
2024-10-24,31.9,32.31,31.6,32.21,189713.75,610470.631
2024-10-25,32.24,32.58,31.83,32.19,208377.62,674113.366
2024-10-28,32.0,32.09,31.52,31.89,195834.4,626454.602
2024-10-29,31.97,33.03,31.66,32.04,304546.76,989904.992
2024-10-30,32.09,33.14,31.96,33.14,379968.71,1248875.243
2024-10-31,33.93,36.43,32.32,35.16,756380.36,2633053.468
2024-11-01,34.68,37.73,34.38,34.54,732053.44,2646081.947
2024-11-04,34.02,36.26,33.84,35.77,470381.7,1673623.502
2024-11-05,35.77,37.0,35.09,36.9,531208.89,1939590.765
2024-11-06,37.16,37.16,35.57,35.94,486500.3,1773797.26
2024-11-07,35.35,35.85,34.65,35.84,365707.58,1294135.798
2024-11-08,36.15,38.67,35.95,37.19,575720.81,2175644.932
2024-11-11,37.4,40.82,36.79,39.57,595616.41,2319155.205
2024-11-12,39.13,39.18,37.23,37.96,453524.54,1742666.412
2024-11-13,37.57,38.33,36.88,37.68,276274.18,1043515.665
2024-11-14,37.27,37.63,36.0,36.07,242010.36,894320.396
2024-11-15,35.84,36.92,35.2,35.25,246694.7,896594.325
2024-11-18,35.44,35.66,33.67,33.87,288300.61,1003031.855
2024-11-19,34.08,35.01,33.57,34.85,227004.31,782200.661
2024-11-20,34.67,35.69,34.39,35.19,209684.1,738069.272
2024-11-21,34.89,35.51,34.56,35.06,169727.58,598562.895
2024-11-22,34.87,35.69,33.39,33.46,267440.15,931922.804
2024-11-25,33.34,33.69,31.62,32.4,277077.45,902990.775
2024-11-26,32.17,33.03,32.17,32.25,144859.93,474098.949
2024-11-27,32.08,33.12,31.49,33.12,206762.57,672811.445
2024-11-28,33.34,33.96,33.1,33.13,200009.29,673301.127
2024-11-29,33.06,34.09,32.69,33.77,228084.12,770741.876
2024-12-02,33.86,34.87,33.7,34.77,226461.16,786283.089
2024-12-03,34.68,34.98,33.87,34.43,169825.69,588089.893
2024-12-04,34.48,34.55,33.42,33.61,159446.1,543476.588
2024-12-05,33.49,34.12,33.43,33.79,136281.64,464441.17
2024-12-06,33.91,35.03,33.8,34.65,201981.0,700798.397
2024-12-09,34.64,35.28,34.28,34.96,179958.73,629999.644
2024-12-10,35.77,35.9,34.48,34.67,229464.0,816610.6
2024-12-11,34.48,35.55,34.34,35.25,179285.52,633494.888
2024-12-12,35.26,35.49,34.28,34.85,201520.9,705241.349
2024-12-13,34.47,34.74,33.74,33.9,249889.9,860381.11
2024-12-16,33.71,33.9,33.06,33.25,156174.16,526151.082
2024-12-17,33.16,33.75,32.76,32.8,142107.22,475121.217
2024-12-18,33.01,34.66,32.8,34.36,233701.28,796781.53
2024-12-19,33.67,35.73,33.12,35.33,374376.38,1308424.875
2024-12-20,34.94,35.75,34.81,35.34,265799.83,944946.539
2024-12-23,35.34,35.82,34.39,34.53,203684.5,716157.19
2024-12-24,34.68,35.26,34.34,35.02,185004.29,647686.731
2024-12-25,35.01,35.14,33.88,34.39,183944.61,638834.08
2024-12-26,34.18,36.06,34.11,35.89,355093.06,1271921.696
2024-12-27,35.79,36.11,34.99,35.31,290264.88,1041314.741
2024-12-30,35.58,36.83,35.28,36.83,433782.3,1591654.265
2024-12-31,36.82,37.09,34.68,34.83,415237.65,1497734.747
2025-01-02,34.58,34.61,31.92,32.79,323724.12,1082523.979
2025-01-03,32.79,32.88,31.26,31.3,196515.37,630874.773
2025-01-06,31.0,31.85,30.51,30.85,163727.17,511035.553
2025-01-07,31.0,32.15,30.88,32.05,181012.83,573386.614
2025-01-08,31.66,31.8,30.06,31.2,207840.07,648989.284
2025-01-09,30.93,31.91,30.85,31.3,149420.53,474575.587
2025-01-10,31.12,31.73,30.6,30.6,147396.48,463056.63
