date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2024-06-03,000006,3.77,3.64,3.79,3.61,190696,70069832.75,4.72,-4.46,-0.17,1.41
2024-06-04,000006,3.6,3.71,3.72,3.58,167699,61348782.59,3.85,1.92,0.07,1.24
2024-06-05,000006,3.69,3.56,3.69,3.56,153732,55497796.0,3.5,-4.04,-0.15,1.14
2024-06-06,000006,3.56,3.43,3.61,3.38,191438,66181141.73,6.46,-3.65,-0.13,1.42
2024-06-07,000006,3.43,3.59,3.6,3.43,197217,69466827.71,4.96,4.66,0.16,1.46
2024-06-11,000006,3.55,3.5,3.57,3.45,133784,46797385.62,3.34,-2.51,-0.09,0.99
2024-06-12,000006,3.47,3.47,3.52,3.45,133496,46394506.2,2.0,-0.86,-0.03,0.99
2024-06-13,000006,3.51,3.4,3.52,3.38,162316,55472800.58,4.03,-2.02,-0.07,1.2
2024-06-14,000006,3.39,3.4,3.46,3.36,191652,65346178.43,2.94,0.0,0.0,1.42
2024-06-17,000006,3.43,3.45,3.69,3.42,409163,144113954.53,7.94,1.47,0.05,3.03
2024-06-18,000006,3.46,3.67,3.79,3.46,479351,175224928.14,9.57,6.38,0.22,3.55
2024-06-19,000006,3.69,3.57,3.73,3.54,299731,107622918.87,5.18,-2.72,-0.1,2.22
2024-06-20,000006,3.66,3.78,3.88,3.62,531493,200031038.04,7.28,5.88,0.21,3.94
2024-06-21,000006,3.69,3.7,3.8,3.66,293297,108410345.0,3.7,-2.12,-0.08,2.17
2024-06-24,000006,3.64,3.81,3.98,3.56,427506,160292281.86,11.35,2.97,0.11,3.17
2024-06-25,000006,3.76,3.79,3.9,3.73,333270,127233408.81,4.46,-0.52,-0.02,2.47
2024-06-26,000006,3.77,3.83,3.88,3.74,220371,83789981.18,3.69,1.06,0.04,1.63
2024-06-27,000006,3.78,3.73,3.83,3.72,192751,72542931.82,2.87,-2.61,-0.1,1.43
2024-06-28,000006,3.75,3.88,3.96,3.71,323325,124725352.35,6.7,4.02,0.15,2.4
2024-07-01,000006,3.82,3.9,3.92,3.78,271615,105281394.22,3.61,0.52,0.02,2.01
2024-07-02,000006,3.86,3.84,3.93,3.81,222599,86072029.0,3.08,-1.54,-0.06,1.65
2024-07-03,000006,3.8,3.76,3.87,3.74,191126,72600700.54,3.39,-2.08,-0.08,1.42
2024-07-04,000006,3.79,3.66,3.8,3.63,189314,69877834.97,4.52,-2.66,-0.1,1.4
2024-07-05,000006,3.65,3.71,3.71,3.59,120812,44108656.96,3.28,1.37,0.05,0.89
2024-07-08,000006,3.49,3.6,3.65,3.46,195991,69833861.0,5.12,-2.96,-0.11,1.45
2024-07-09,000006,3.63,3.69,3.71,3.51,173813,62754468.89,5.56,2.5,0.09,1.29
2024-07-10,000006,3.66,3.55,3.67,3.54,148111,53256427.01,3.52,-3.79,-0.14,1.1
2024-07-11,000006,3.59,3.61,3.64,3.55,130209,46866244.93,2.54,1.69,0.06,0.96
2024-07-12,000006,3.6,3.76,3.88,3.6,309799,116832605.1,7.76,4.16,0.15,2.29
2024-07-15,000006,3.71,3.66,3.73,3.64,157239,57755113.58,2.39,-2.66,-0.1,1.16
2024-07-16,000006,3.62,3.62,3.67,3.59,141627,51234065.28,2.19,-1.09,-0.04,1.05
2024-07-17,000006,3.61,3.63,3.71,3.61,165366,60438401.72,2.76,0.28,0.01,1.22
2024-07-18,000006,3.62,3.63,3.63,3.55,135402,48528936.53,2.2,0.0,0.0,1.0
2024-07-19,000006,3.6,3.6,3.61,3.54,124587,44574126.13,1.93,-0.83,-0.03,0.92
2024-07-22,000006,3.56,3.56,3.58,3.52,110928,39366226.58,1.67,-1.11,-0.04,0.82
2024-07-23,000006,3.58,3.66,3.86,3.58,340062,126527599.09,7.87,2.81,0.1,2.52
2024-07-24,000006,3.65,3.54,3.66,3.54,183342,65613066.0,3.28,-3.28,-0.12,1.36
2024-07-25,000006,3.56,3.62,3.64,3.52,139981,50178095.46,3.39,2.26,0.08,1.04
2024-07-26,000006,3.68,3.75,3.79,3.67,192863,71715319.38,3.31,3.59,0.13,1.43
2024-07-29,000006,3.71,3.68,3.72,3.62,130054,47715968.43,2.67,-1.87,-0.07,0.96
2024-07-30,000006,3.68,3.76,3.82,3.65,233287,87479042.31,4.62,2.17,0.08,1.73
2024-07-31,000006,3.75,3.82,3.84,3.7,247019,93724052.86,3.72,1.6,0.06,1.83
2024-08-01,000006,3.81,3.85,3.99,3.76,303337,117152112.37,6.02,0.79,0.03,2.25
2024-08-02,000006,3.81,3.95,4.07,3.81,378577,149218711.55,6.75,2.6,0.1,2.8
2024-08-05,000006,3.88,3.76,3.96,3.73,283380,109123407.93,5.82,-4.81,-0.19,2.1
2024-08-06,000006,3.83,3.87,3.97,3.83,321736,125133579.04,3.72,2.93,0.11,2.38
2024-08-07,000006,3.87,3.83,3.89,3.78,184643,70660642.61,2.84,-1.03,-0.04,1.37
2024-08-08,000006,3.92,3.87,4.01,3.83,367343,143964608.44,4.7,1.04,0.04,2.72
2024-08-09,000006,3.81,3.89,4.01,3.79,377264,147746653.33,5.68,0.52,0.02,2.79
2024-08-12,000006,3.82,3.72,3.85,3.69,281792,105509526.26,4.11,-4.37,-0.17,2.09
2024-08-13,000006,3.72,3.77,3.79,3.67,170736,63929883.62,3.23,1.34,0.05,1.26
2024-08-14,000006,3.77,3.77,3.81,3.73,112265,42307051.41,2.12,0.0,0.0,0.83
2024-08-15,000006,3.75,3.9,3.91,3.73,250378,96478058.1,4.77,3.45,0.13,1.85
2024-08-16,000006,3.88,3.84,3.9,3.82,158487,60999123.71,2.05,-1.54,-0.06,1.17
2024-08-19,000006,3.8,3.77,3.82,3.76,130506,49335616.48,1.56,-1.82,-0.07,0.97
2024-08-20,000006,3.76,3.7,3.79,3.69,116232,43313087.0,2.65,-1.86,-0.07,0.86
2024-08-21,000006,3.75,3.78,3.85,3.7,190377,72272713.56,4.05,2.16,0.08,1.41
2024-08-22,000006,3.83,3.86,3.92,3.73,270820,103816898.6,5.03,2.12,0.08,2.01
2024-08-23,000006,3.81,3.96,4.04,3.81,398894,158039911.68,5.96,2.59,0.1,2.95
2024-08-26,000006,3.88,3.9,4.02,3.85,270275,105626466.01,4.29,-1.52,-0.06,2.0
2024-08-27,000006,3.89,3.77,3.89,3.73,238235,90292868.07,4.1,-3.33,-0.13,1.76
2024-08-28,000006,3.77,3.77,3.8,3.74,133213,50203113.49,1.59,0.0,0.0,0.99
2024-08-29,000006,3.76,3.74,3.76,3.65,159070,59061196.26,2.92,-0.8,-0.03,1.18
2024-08-30,000006,3.78,3.89,3.97,3.78,332442,128972848.83,5.08,4.01,0.15,2.46
2024-09-02,000006,3.86,3.79,3.88,3.79,196948,75310626.0,2.31,-2.57,-0.1,1.46
2024-09-03,000006,3.79,4.17,4.17,3.79,380809,155372795.01,10.03,10.03,0.38,2.82
2024-09-04,000006,4.28,4.13,4.47,4.1,934209,400065706.45,8.87,-0.96,-0.04,6.92
2024-09-05,000006,4.25,4.21,4.38,4.12,558448,234542484.96,6.3,1.94,0.08,4.14
2024-09-06,000006,4.13,4.12,4.19,4.07,392367,161625506.73,2.85,-2.14,-0.09,2.91
2024-09-09,000006,4.08,4.2,4.31,4.03,373525,155640740.13,6.8,1.94,0.08,2.77
2024-09-10,000006,4.2,4.17,4.24,4.09,241050,100217310.8,3.57,-0.71,-0.03,1.79
2024-09-11,000006,4.14,4.11,4.17,4.08,170566,70148527.0,2.16,-1.44,-0.06,1.26
2024-09-12,000006,4.12,4.15,4.21,4.1,229562,95525295.0,2.68,0.97,0.04,1.7
2024-09-13,000006,4.2,4.33,4.38,4.17,592927,254798092.33,5.06,4.34,0.18,4.39
2024-09-18,000006,4.25,4.3,4.39,4.13,405177,171765963.35,6.0,-0.69,-0.03,3.0
2024-09-19,000006,4.3,4.28,4.39,4.22,381800,164218542.64,3.95,-0.47,-0.02,2.83
2024-09-20,000006,4.22,4.42,4.44,4.21,453843,197783718.91,5.37,3.27,0.14,3.36
2024-09-23,000006,4.34,4.34,4.41,4.31,322690,140588064.92,2.26,-1.81,-0.08,2.39
2024-09-24,000006,4.42,4.39,4.46,4.27,366777,159792762.71,4.38,1.15,0.05,2.72
2024-09-25,000006,4.37,4.38,4.56,4.36,491749,219308496.8,4.56,-0.23,-0.01,3.64
2024-09-26,000006,4.42,4.66,4.69,4.41,675110,307363483.85,6.39,6.39,0.28,5.0
2024-09-27,000006,4.75,5.13,5.13,4.7,791192,385409890.83,9.23,10.09,0.47,5.86
2024-09-30,000006,5.49,5.59,5.6,5.21,1256421,684436800.2,7.6,8.97,0.46,9.31
2024-10-08,000006,6.1,5.49,6.11,5.23,1224800,698556340.73,15.74,-1.79,-0.1,9.07
2024-10-09,000006,5.35,4.94,5.38,4.94,766986,390241319.18,8.01,-10.02,-0.55,5.68
2024-10-10,000006,4.89,5.21,5.42,4.82,825839,429419106.43,12.15,5.47,0.27,6.12
2024-10-11,000006,5.17,5.56,5.69,5.06,803901,437528112.87,12.09,6.72,0.35,5.95
2024-10-14,000006,5.64,5.47,5.65,5.26,647336,349148007.22,7.01,-1.62,-0.09,4.8
2024-10-15,000006,5.35,5.84,5.98,5.23,958127,543020664.6,13.71,6.76,0.37,7.1
2024-10-16,000006,5.8,5.98,6.06,5.7,899792,528689235.68,6.16,2.4,0.14,6.67
2024-10-17,000006,5.86,5.74,6.35,5.7,1001328,602268670.31,10.87,-4.01,-0.24,7.42
2024-10-18,000006,5.74,6.31,6.31,5.7,665829,410421055.39,10.63,9.93,0.57,4.93
2024-10-21,000006,6.59,6.94,6.94,6.38,1348848,918273806.7,8.87,9.98,0.63,9.99
